celltype_id,strand,cts_total
100-b-cell,+,9791
101-kidney-intercalated-cell,+,11014
102-adrenal-gland-inflammatory-cell,+,10945
10-fetal-stromal-cell,+,103921
11-fetal-neuron,+,206260
12-erythroid-progenitor-cell-rp-high,+,211015
13-monocyte,+,168556
14-b-cell-plasmocyte,+,161753
15-fetal-enterocyte,+,162115
16-hepatocyte-endodermal-cell,+,137852
17-fetal-fibroblast,+,152057
18-fibroblast,+,174696
19-fetal-mesenchymal-progenitor,+,142185
1-fetal-epithelial-progenitor,+,268409
20-endothelial-cell,+,178400
21-fetal-stromal-cell,+,223397
22-dendritic-cell,+,153972
23-cb-cd34p,+,156641
24-t-cell,+,167114
25-loop-of-henle,+,157212
26-erythroid-cell,+,125029
27-stromal-cell,+,109084
28-oligodendrocyte,+,272814
29-endothelial-cell,+,101875
2-macrophage,+,266585
30-at2-cell,+,184337
31-monocyte,+,122078
32-thyroid-follicular-cell,+,163520
33-smooth-muscle-cell,+,103573
34-fibroblast,+,124576
35-smooth-muscle-cell,+,116861
36-fibroblast,+,64101
37-b-cell,+,138876
38-epithelial-cell,+,70730
39-enterocyte,+,172752
3-b-cell-plasmocyte,+,177623
40-neutrophil-rps-high,+,88235
41-antigen-presenting-cell-rps-high,+,97709
42-smooth-muscle-cell,+,98922
43-fetal-chondrocyte,+,103595
44-pancreas-exocrine-cell,+,42800
45-macrophage,+,217937
46-neutrophil,+,114214
47-m2-macrophage,+,115017
48-neutrophil,+,97295
49-epithelial-cell,+,78320
4-fibroblast,+,144679
50-gastric-chief-cell,+,99895
51-macrophage,+,92403
52-proliferating-t-cell,+,72276
53-fetal-neuron,+,100114
54-goblet-cell,+,126469
55-fasciculata-cell,+,48546
56-intercalated-cell,+,103123
57-stratified-epithelial-cell,+,96064
58-stromal-cell,+,71161
59-epithelial-cell,+,131331
5-fasciculata-cell,+,113794
60-epithelial-cell-intermediated,+,80979
61-sinusoidal-endothelial-cell,+,64868
62-primordial-germ-cell,+,115630
63-fasciculata-cell,+,91822
64-fetal-skeletal-muscle-cell,+,48130
65-enterocyte-progenitor,+,32525
