celltype_id,strand,cts_total
100-b-cell,+,6947
101-kidney-intercalated-cell,+,7860
102-adrenal-gland-inflammatory-cell,+,8724
10-fetal-stromal-cell,+,11866
11-fetal-neuron,+,13651
12-erythroid-progenitor-cell-rp-high,+,8129
13-monocyte,+,11150
14-b-cell-plasmocyte,+,7121
15-fetal-enterocyte,+,11260
16-hepatocyte-endodermal-cell,+,10580
17-fetal-fibroblast,+,12407
18-fibroblast,+,12491
19-fetal-mesenchymal-progenitor,+,11798
1-fetal-epithelial-progenitor,+,12851
20-endothelial-cell,+,13369
21-fetal-stromal-cell,+,12921
22-dendritic-cell,+,10227
23-cb-cd34p,+,9372
24-t-cell,+,10522
25-loop-of-henle,+,11483
26-erythroid-cell,+,6979
27-stromal-cell,+,11833
28-oligodendrocyte,+,15713
29-endothelial-cell,+,12566
2-macrophage,+,13171
30-at2-cell,+,13979
31-monocyte,+,10624
32-thyroid-follicular-cell,+,13246
33-smooth-muscle-cell,+,13278
34-fibroblast,+,11078
35-smooth-muscle-cell,+,13367
36-fibroblast,+,9484
37-b-cell,+,9896
38-epithelial-cell,+,9193
39-enterocyte,+,10225
3-b-cell-plasmocyte,+,6202
40-neutrophil-rps-high,+,8434
41-antigen-presenting-cell-rps-high,+,9900
42-smooth-muscle-cell,+,12854
43-fetal-chondrocyte,+,10138
44-pancreas-exocrine-cell,+,7164
45-macrophage,+,14074
46-neutrophil,+,9789
47-m2-macrophage,+,11243
48-neutrophil,+,11094
49-epithelial-cell,+,12532
4-fibroblast,+,15505
50-gastric-chief-cell,+,2364
51-macrophage,+,11520
52-proliferating-t-cell,+,10895
53-fetal-neuron,+,13812
54-goblet-cell,+,8830
55-fasciculata-cell,+,12012
56-intercalated-cell,+,11574
57-stratified-epithelial-cell,+,12388
58-stromal-cell,+,9644
59-epithelial-cell,+,11293
5-fasciculata-cell,+,8950
60-epithelial-cell-intermediated,+,9461
61-sinusoidal-endothelial-cell,+,13413
62-primordial-germ-cell,+,12802
63-fasciculata-cell,+,9574
64-fetal-skeletal-muscle-cell,+,11036
65-enterocyte-progenitor,+,9671
66-endothelial-cell-emt,+,14922
67-basal-cell,+,12006
68-astrocyte,+,15836
69-macrophage,+,13422
6-t-cell,+,8280
70-fibroblast,+,10530
71-fetal-acinar-cell,+,16061
72-stromal-cell,+,13258
73-basal-cell,+,10407
74-ventricle-cardiomyocyte,+,10813
75-erythroid-cell,+,9349
76-mesothelial-cell,+,13661
77-ureteric-bud-cell,+,13512
78-macrophage,+,11937
79-smooth-muscle-cell,+,12793
7-fetal-mesenchymal-progenitor,+,12879
80-enterocyte,+,11481
81-epithelial-cell,+,8990
82-stratified-epithelial-cell,+,12618
83-proximal-tubule-progenitor,+,16897
84-gastric-endocrine-cell,+,12579
85-erythroid-cell,+,10141
86-mast-cell,+,14267
87-hesc,+,11783
88-fetal-endocrine-cell,+,13497
89-neutrophil,+,12321
8-endothelial-cell-apc,+,13761
90-goblet-cell,+,9789
91-goblet-cell,+,13717
92-immature-sertoli-cell,+,17852
93-myeloid-cell,+,11720
94-dendritic-cell,+,14963
95-stromal-cell,+,15564
96-fetal-neuron,+,13181
97-intermediated-cell,+,9638
98-epithelial-cell,+,13402
99-chondrocyte,+,19124
9-enterocyte-progenitor,+,8860
100-b-cell,-,6132
101-kidney-intercalated-cell,-,6833
102-adrenal-gland-inflammatory-cell,-,7365
10-fetal-stromal-cell,-,11352
11-fetal-neuron,-,12724
12-erythroid-progenitor-cell-rp-high,-,7407
13-monocyte,-,10153
14-b-cell-plasmocyte,-,6282
15-fetal-enterocyte,-,10161
16-hepatocyte-endodermal-cell,-,9474
17-fetal-fibroblast,-,11483
18-fibroblast,-,11085
19-fetal-mesenchymal-progenitor,-,10962
1-fetal-epithelial-progenitor,-,11891
20-endothelial-cell,-,12462
21-fetal-stromal-cell,-,12034
22-dendritic-cell,-,9165
23-cb-cd34p,-,8529
24-t-cell,-,9137
25-loop-of-henle,-,9974
26-erythroid-cell,-,6256
27-stromal-cell,-,10659
