celltype_id,strand,cts_total
100-b-cell,+,9438
101-kidney-intercalated-cell,+,10579
102-adrenal-gland-inflammatory-cell,+,10427
10-fetal-stromal-cell,+,100406
11-fetal-neuron,+,199591
12-erythroid-progenitor-cell-rp-high,+,204645
13-monocyte,+,163100
14-b-cell-plasmocyte,+,155338
15-fetal-enterocyte,+,156373
16-hepatocyte-endodermal-cell,+,133005
17-fetal-fibroblast,+,147907
18-fibroblast,+,168503
19-fetal-mesenchymal-progenitor,+,137201
1-fetal-epithelial-progenitor,+,259809
20-endothelial-cell,+,172314
21-fetal-stromal-cell,+,215975
22-dendritic-cell,+,148958
23-cb-cd34p,+,152201
24-t-cell,+,162138
25-loop-of-henle,+,151540
26-erythroid-cell,+,121339
27-stromal-cell,+,105264
28-oligodendrocyte,+,265482
29-endothelial-cell,+,98019
2-macrophage,+,257249
30-at2-cell,+,178473
31-monocyte,+,118317
32-thyroid-follicular-cell,+,156796
33-smooth-muscle-cell,+,99519
34-fibroblast,+,120791
35-smooth-muscle-cell,+,112155
36-fibroblast,+,61467
37-b-cell,+,134930
38-epithelial-cell,+,68209
39-enterocyte,+,167549
3-b-cell-plasmocyte,+,171251
40-neutrophil-rps-high,+,85442
41-antigen-presenting-cell-rps-high,+,94355
42-smooth-muscle-cell,+,95372
43-fetal-chondrocyte,+,99588
44-pancreas-exocrine-cell,+,41209
45-macrophage,+,211899
46-neutrophil,+,110976
47-m2-macrophage,+,110410
48-neutrophil,+,94347
49-epithelial-cell,+,74770
4-fibroblast,+,139411
50-gastric-chief-cell,+,96636
51-macrophage,+,89216
52-proliferating-t-cell,+,69367
53-fetal-neuron,+,96939
54-goblet-cell,+,122503
55-fasciculata-cell,+,46799
56-intercalated-cell,+,99443
57-stratified-epithelial-cell,+,92578
58-stromal-cell,+,68206
59-epithelial-cell,+,126587
5-fasciculata-cell,+,109737
60-epithelial-cell-intermediated,+,77785
61-sinusoidal-endothelial-cell,+,62309
62-primordial-germ-cell,+,112463
63-fasciculata-cell,+,88398
64-fetal-skeletal-muscle-cell,+,46615
65-enterocyte-progenitor,+,31207
66-endothelial-cell-emt,+,119419
67-basal-cell,+,79701
68-astrocyte,+,97908
69-macrophage,+,75487
6-t-cell,+,235907
70-fibroblast,+,42072
71-fetal-acinar-cell,+,60045
72-stromal-cell,+,109526
73-basal-cell,+,47639
74-ventricle-cardiomyocyte,+,78196
75-erythroid-cell,+,50715
76-mesothelial-cell,+,48827
77-ureteric-bud-cell,+,42685
78-macrophage,+,55615
79-smooth-muscle-cell,+,62428
7-fetal-mesenchymal-progenitor,+,297713
80-enterocyte,+,111890
81-epithelial-cell,+,83915
82-stratified-epithelial-cell,+,59932
83-proximal-tubule-progenitor,+,54999
84-gastric-endocrine-cell,+,40349
85-erythroid-cell,+,45612
86-mast-cell,+,42068
87-hesc,+,58924
88-fetal-endocrine-cell,+,55878
89-neutrophil,+,45464
8-endothelial-cell-apc,+,201467
90-goblet-cell,+,84737
91-goblet-cell,+,27534
92-immature-sertoli-cell,+,90439
93-myeloid-cell,+,21773
94-dendritic-cell,+,29655
95-stromal-cell,+,22407
96-fetal-neuron,+,21620
97-intermediated-cell,+,15533
98-epithelial-cell,+,24195
99-chondrocyte,+,15119
9-enterocyte-progenitor,+,254922
100-b-cell,-,9236
101-kidney-intercalated-cell,-,9992
102-adrenal-gland-inflammatory-cell,-,10081
10-fetal-stromal-cell,-,104752
11-fetal-neuron,-,207090
12-erythroid-progenitor-cell-rp-high,-,213041
13-monocyte,-,167872
14-b-cell-plasmocyte,-,160733
15-fetal-enterocyte,-,160735
16-hepatocyte-endodermal-cell,-,136535
17-fetal-fibroblast,-,150642
18-fibroblast,-,171394
19-fetal-mesenchymal-progenitor,-,141806
1-fetal-epithelial-progenitor,-,268154
20-endothelial-cell,-,179529
21-fetal-stromal-cell,-,224844
22-dendritic-cell,-,152638
23-cb-cd34p,-,157318
24-t-cell,-,165692
25-loop-of-henle,-,154728
26-erythroid-cell,-,126061
27-stromal-cell,-,107556
28-oligodendrocyte,-,274552
29-endothelial-cell,-,99451
2-macrophage,-,262273
30-at2-cell,-,182541
31-monocyte,-,122426
32-thyroid-follicular-cell,-,158997
33-smooth-muscle-cell,-,98754
34-fibroblast,-,121257
35-smooth-muscle-cell,-,114945
36-fibroblast,-,61860
37-b-cell,-,136633
38-epithelial-cell,-,69607
39-enterocyte,-,166713
3-b-cell-plasmocyte,-,175547
40-neutrophil-rps-high,-,88116
41-antigen-presenting-cell-rps-high,-,96482
42-smooth-muscle-cell,-,95877
43-fetal-chondrocyte,-,106311
44-pancreas-exocrine-cell,-,41228
45-macrophage,-,216315
46-neutrophil,-,115467
47-m2-macrophage,-,112458
48-neutrophil,-,97635
49-epithelial-cell,-,77362
4-fibroblast,-,139713
50-gastric-chief-cell,-,95209
51-macrophage,-,90495
52-proliferating-t-cell,-,71392
53-fetal-neuron,-,99010
54-goblet-cell,-,122283
55-fasciculata-cell,-,47671
56-intercalated-cell,-,100896
57-stratified-epithelial-cell,-,92986
58-stromal-cell,-,69640
59-epithelial-cell,-,127818
5-fasciculata-cell,-,110750
60-epithelial-cell-intermediated,-,79669
61-sinusoidal-endothelial-cell,-,63253
62-primordial-germ-cell,-,114881
63-fasciculata-cell,-,89903
64-fetal-skeletal-muscle-cell,-,47782
65-enterocyte-progenitor,-,31113
66-endothelial-cell-emt,-,120204
67-basal-cell,-,79156
68-astrocyte,-,99368
69-macrophage,-,76692
6-t-cell,-,244792
70-fibroblast,-,42217
71-fetal-acinar-cell,-,59916
72-stromal-cell,-,114833
73-basal-cell,-,47723
74-ventricle-cardiomyocyte,-,81411
75-erythroid-cell,-,51760
76-mesothelial-cell,-,47170
77-ureteric-bud-cell,-,43070
78-macrophage,-,56714
79-smooth-muscle-cell,-,62990
7-fetal-mesenchymal-progenitor,-,310545
80-enterocyte,-,114356
81-epithelial-cell,-,84357
82-stratified-epithelial-cell,-,59394
83-proximal-tubule-progenitor,-,55299
84-gastric-endocrine-cell,-,39956
85-erythroid-cell,-,46436
86-mast-cell,-,41557
87-hesc,-,59586
88-fetal-endocrine-cell,-,56120
89-neutrophil,-,46066
8-endothelial-cell-apc,-,205755
90-goblet-cell,-,86337
91-goblet-cell,-,26433
92-immature-sertoli-cell,-,89419
93-myeloid-cell,-,21128
94-dendritic-cell,-,29389
95-stromal-cell,-,22051
96-fetal-neuron,-,21527
97-intermediated-cell,-,14965
98-epithelial-cell,-,24170
99-chondrocyte,-,14981
9-enterocyte-progenitor,-,258493
