celltype_id,strand,cts_total
100-b-cell,+,5419
101-kidney-intercalated-cell,+,6264
102-adrenal-gland-inflammatory-cell,+,6385
10-fetal-stromal-cell,+,9920
11-fetal-neuron,+,11775
12-erythroid-progenitor-cell-rp-high,+,6939
13-monocyte,+,9464
14-b-cell-plasmocyte,+,5810
15-fetal-enterocyte,+,9366
16-hepatocyte-endodermal-cell,+,8956
17-fetal-fibroblast,+,10893
18-fibroblast,+,10146
19-fetal-mesenchymal-progenitor,+,10233
1-fetal-epithelial-progenitor,+,11221
20-endothelial-cell,+,11405
21-fetal-stromal-cell,+,11005
22-dendritic-cell,+,8706
23-cb-cd34p,+,8155
24-t-cell,+,8778
25-loop-of-henle,+,9505
26-erythroid-cell,+,5957
27-stromal-cell,+,9706
28-oligodendrocyte,+,12916
29-endothelial-cell,+,10284
2-macrophage,+,10826
30-at2-cell,+,11437
31-monocyte,+,8551
32-thyroid-follicular-cell,+,11020
33-smooth-muscle-cell,+,10461
34-fibroblast,+,8996
35-smooth-muscle-cell,+,10883
36-fibroblast,+,8142
37-b-cell,+,8463
38-epithelial-cell,+,7890
39-enterocyte,+,8347
3-b-cell-plasmocyte,+,5037
40-neutrophil-rps-high,+,7169
41-antigen-presenting-cell-rps-high,+,8128
42-smooth-muscle-cell,+,10574
43-fetal-chondrocyte,+,8375
44-pancreas-exocrine-cell,+,6011
45-macrophage,+,12085
46-neutrophil,+,8425
47-m2-macrophage,+,8796
48-neutrophil,+,9537
49-epithelial-cell,+,9793
4-fibroblast,+,12392
50-gastric-chief-cell,+,2143
51-macrophage,+,9493
52-proliferating-t-cell,+,8940
53-fetal-neuron,+,11974
54-goblet-cell,+,7496
55-fasciculata-cell,+,9918
56-intercalated-cell,+,9605
57-stratified-epithelial-cell,+,9811
58-stromal-cell,+,7779
59-epithelial-cell,+,9294
5-fasciculata-cell,+,7464
60-epithelial-cell-intermediated,+,7668
61-sinusoidal-endothelial-cell,+,11867
62-primordial-germ-cell,+,11384
63-fasciculata-cell,+,7685
64-fetal-skeletal-muscle-cell,+,9394
65-enterocyte-progenitor,+,8046
66-endothelial-cell-emt,+,12463
67-basal-cell,+,9705
68-astrocyte,+,13032
69-macrophage,+,11059
6-t-cell,+,7197
70-fibroblast,+,8482
71-fetal-acinar-cell,+,13841
72-stromal-cell,+,11551
73-basal-cell,+,8456
74-ventricle-cardiomyocyte,+,9134
75-erythroid-cell,+,8199
76-mesothelial-cell,+,11032
77-ureteric-bud-cell,+,11399
78-macrophage,+,9903
79-smooth-muscle-cell,+,10867
7-fetal-mesenchymal-progenitor,+,10989
80-enterocyte,+,9663
81-epithelial-cell,+,7306
82-stratified-epithelial-cell,+,10273
83-proximal-tubule-progenitor,+,14572
84-gastric-endocrine-cell,+,10574
85-erythroid-cell,+,8886
86-mast-cell,+,11797
87-hesc,+,9873
88-fetal-endocrine-cell,+,11545
89-neutrophil,+,10297
8-endothelial-cell-apc,+,11383
90-goblet-cell,+,8393
91-goblet-cell,+,11424
92-immature-sertoli-cell,+,14133
93-myeloid-cell,+,9805
94-dendritic-cell,+,12392
95-stromal-cell,+,12384
96-fetal-neuron,+,11043
97-intermediated-cell,+,8060
98-epithelial-cell,+,10893
