celltype_id,strand,cts_total
100-b-cell,+,11558
101-kidney-intercalated-cell,+,11870
102-adrenal-gland-inflammatory-cell,+,13291
10-fetal-stromal-cell,+,33404
11-fetal-neuron,+,43392
12-erythroid-progenitor-cell-rp-high,+,19875
13-monocyte,+,37915
14-b-cell-plasmocyte,+,19898
15-fetal-enterocyte,+,28709
16-hepatocyte-endodermal-cell,+,26817
17-fetal-fibroblast,+,36170
18-fibroblast,+,32838
19-fetal-mesenchymal-progenitor,+,33995
1-fetal-epithelial-progenitor,+,38274
20-endothelial-cell,+,37088
21-fetal-stromal-cell,+,42005
22-dendritic-cell,+,30077
23-cb-cd34p,+,29750
24-t-cell,+,32959
25-loop-of-henle,+,33625
26-erythroid-cell,+,18531
27-stromal-cell,+,32124
28-oligodendrocyte,+,49395
29-endothelial-cell,+,37703
2-macrophage,+,37087
30-at2-cell,+,42796
31-monocyte,+,29106
32-thyroid-follicular-cell,+,38896
33-smooth-muscle-cell,+,32946
34-fibroblast,+,29823
35-smooth-muscle-cell,+,40045
36-fibroblast,+,28539
37-b-cell,+,28986
38-epithelial-cell,+,25106
39-enterocyte,+,29619
3-b-cell-plasmocyte,+,18554
40-neutrophil-rps-high,+,28028
41-antigen-presenting-cell-rps-high,+,31151
42-smooth-muscle-cell,+,37789
43-fetal-chondrocyte,+,28156
44-pancreas-exocrine-cell,+,23070
45-macrophage,+,47057
46-neutrophil,+,32105
47-m2-macrophage,+,27535
48-neutrophil,+,36622
49-epithelial-cell,+,32548
4-fibroblast,+,48407
50-gastric-chief-cell,+,8642
51-macrophage,+,34603
52-proliferating-t-cell,+,27217
53-fetal-neuron,+,38640
54-goblet-cell,+,24395
55-fasciculata-cell,+,51420
56-intercalated-cell,+,32460
57-stratified-epithelial-cell,+,34721
58-stromal-cell,+,26493
59-epithelial-cell,+,33307
5-fasciculata-cell,+,23752
60-epithelial-cell-intermediated,+,25114
61-sinusoidal-endothelial-cell,+,40772
62-primordial-germ-cell,+,40424
63-fasciculata-cell,+,24437
64-fetal-skeletal-muscle-cell,+,50853
65-enterocyte-progenitor,+,35688
66-endothelial-cell-emt,+,45371
67-basal-cell,+,31400
68-astrocyte,+,53667
69-macrophage,+,44899
6-t-cell,+,23524
70-fibroblast,+,48332
71-fetal-acinar-cell,+,66914
72-stromal-cell,+,34887
73-basal-cell,+,29609
74-ventricle-cardiomyocyte,+,26633
75-erythroid-cell,+,28174
76-mesothelial-cell,+,56501
77-ureteric-bud-cell,+,47109
78-macrophage,+,33269
79-smooth-muscle-cell,+,36326
7-fetal-mesenchymal-progenitor,+,38961
80-enterocyte,+,36098
81-epithelial-cell,+,25989
82-stratified-epithelial-cell,+,34163
83-proximal-tubule-progenitor,+,59725
84-gastric-endocrine-cell,+,26954
85-erythroid-cell,+,24215
86-mast-cell,+,47722
87-hesc,+,37450
88-fetal-endocrine-cell,+,32216
89-neutrophil,+,26854
8-endothelial-cell-apc,+,37811
90-goblet-cell,+,36296
91-goblet-cell,+,30979
92-immature-sertoli-cell,+,50748
93-myeloid-cell,+,24003
94-dendritic-cell,+,34018
95-stromal-cell,+,26028
96-fetal-neuron,+,23846
97-intermediated-cell,+,17092
98-epithelial-cell,+,28282
99-chondrocyte,+,17710
9-enterocyte-progenitor,+,26542
100-b-cell,-,10146
101-kidney-intercalated-cell,-,10770
102-adrenal-gland-inflammatory-cell,-,11527
10-fetal-stromal-cell,-,33507
11-fetal-neuron,-,41826
12-erythroid-progenitor-cell-rp-high,-,19568
13-monocyte,-,36708
14-b-cell-plasmocyte,-,18901
15-fetal-enterocyte,-,27525
16-hepatocyte-endodermal-cell,-,25876
17-fetal-fibroblast,-,35026
18-fibroblast,-,30882
19-fetal-mesenchymal-progenitor,-,33298
1-fetal-epithelial-progenitor,-,37143
20-endothelial-cell,-,36560
21-fetal-stromal-cell,-,40821
22-dendritic-cell,-,28812
23-cb-cd34p,-,29058
24-t-cell,-,30974
25-loop-of-henle,-,32058
26-erythroid-cell,-,17707
27-stromal-cell,-,30811
28-oligodendrocyte,-,47174
29-endothelial-cell,-,34947
2-macrophage,-,34894
30-at2-cell,-,40647
31-monocyte,-,27436
32-thyroid-follicular-cell,-,35974
33-smooth-muscle-cell,-,30070
34-fibroblast,-,27471
35-smooth-muscle-cell,-,38192
36-fibroblast,-,27466
37-b-cell,-,27628
38-epithelial-cell,-,23467
39-enterocyte,-,26827
3-b-cell-plasmocyte,-,17248
40-neutrophil-rps-high,-,27936
41-antigen-presenting-cell-rps-high,-,29823
42-smooth-muscle-cell,-,35978
43-fetal-chondrocyte,-,28752
44-pancreas-exocrine-cell,-,21321
45-macrophage,-,43757
46-neutrophil,-,31929
47-m2-macrophage,-,25460
48-neutrophil,-,35874
49-epithelial-cell,-,31118
4-fibroblast,-,44666
50-gastric-chief-cell,-,7206
51-macrophage,-,33109
52-proliferating-t-cell,-,25794
53-fetal-neuron,-,38073
54-goblet-cell,-,21855
55-fasciculata-cell,-,51102
56-intercalated-cell,-,30746
57-stratified-epithelial-cell,-,31956
58-stromal-cell,-,24813
59-epithelial-cell,-,31322
5-fasciculata-cell,-,22539
60-epithelial-cell-intermediated,-,23921
61-sinusoidal-endothelial-cell,-,38320
62-primordial-germ-cell,-,38669
63-fasciculata-cell,-,23143
64-fetal-skeletal-muscle-cell,-,51080
65-enterocyte-progenitor,-,33950
66-endothelial-cell-emt,-,42868
67-basal-cell,-,28854
68-astrocyte,-,51785
69-macrophage,-,42249
6-t-cell,-,22380
70-fibroblast,-,45547
71-fetal-acinar-cell,-,64714
72-stromal-cell,-,34442
73-basal-cell,-,28107
74-ventricle-cardiomyocyte,-,26259
75-erythroid-cell,-,27550
76-mesothelial-cell,-,51234
77-ureteric-bud-cell,-,46106
78-macrophage,-,32010
79-smooth-muscle-cell,-,34962
7-fetal-mesenchymal-progenitor,-,36999
80-enterocyte,-,34090
81-epithelial-cell,-,23921
82-stratified-epithelial-cell,-,31278
83-proximal-tubule-progenitor,-,58822
84-gastric-endocrine-cell,-,25543
85-erythroid-cell,-,24112
86-mast-cell,-,44708
87-hesc,-,34864
88-fetal-endocrine-cell,-,30807
89-neutrophil,-,25784
8-endothelial-cell-apc,-,36191
90-goblet-cell,-,34477
91-goblet-cell,-,29024
92-immature-sertoli-cell,-,44553
93-myeloid-cell,-,22495
94-dendritic-cell,-,31884
95-stromal-cell,-,24031
96-fetal-neuron,-,23115
97-intermediated-cell,-,16171
98-epithelial-cell,-,26185
99-chondrocyte,-,16045
9-enterocyte-progenitor,-,24095
