celltype_id,strand,cts_total
100-b-cell,+,5510
101-kidney-intercalated-cell,+,6398
102-adrenal-gland-inflammatory-cell,+,6521
10-fetal-stromal-cell,+,10070
11-fetal-neuron,+,11880
12-erythroid-progenitor-cell-rp-high,+,7051
13-monocyte,+,9541
14-b-cell-plasmocyte,+,5906
15-fetal-enterocyte,+,9478
16-hepatocyte-endodermal-cell,+,9102
17-fetal-fibroblast,+,11024
18-fibroblast,+,10281
19-fetal-mesenchymal-progenitor,+,10358
1-fetal-epithelial-progenitor,+,11340
20-endothelial-cell,+,11530
21-fetal-stromal-cell,+,11169
22-dendritic-cell,+,8828
23-cb-cd34p,+,8246
24-t-cell,+,8886
25-loop-of-henle,+,9629
26-erythroid-cell,+,6046
27-stromal-cell,+,9845
28-oligodendrocyte,+,13054
29-endothelial-cell,+,10388
2-macrophage,+,10939
30-at2-cell,+,11548
31-monocyte,+,8680
32-thyroid-follicular-cell,+,11146
33-smooth-muscle-cell,+,10568
34-fibroblast,+,9089
35-smooth-muscle-cell,+,11008
36-fibroblast,+,8230
37-b-cell,+,8570
38-epithelial-cell,+,8007
39-enterocyte,+,8462
3-b-cell-plasmocyte,+,5113
40-neutrophil-rps-high,+,7269
41-antigen-presenting-cell-rps-high,+,8249
42-smooth-muscle-cell,+,10724
43-fetal-chondrocyte,+,8474
44-pancreas-exocrine-cell,+,6070
45-macrophage,+,12190
46-neutrophil,+,8529
47-m2-macrophage,+,8909
48-neutrophil,+,9639
49-epithelial-cell,+,9929
4-fibroblast,+,12534
50-gastric-chief-cell,+,2141
51-macrophage,+,9603
52-proliferating-t-cell,+,9035
53-fetal-neuron,+,12101
54-goblet-cell,+,7550
55-fasciculata-cell,+,10083
56-intercalated-cell,+,9735
57-stratified-epithelial-cell,+,9907
58-stromal-cell,+,7884
59-epithelial-cell,+,9409
5-fasciculata-cell,+,7582
60-epithelial-cell-intermediated,+,7791
61-sinusoidal-endothelial-cell,+,12025
62-primordial-germ-cell,+,11482
