celltype_id,strand,cts_total
100-b-cell,+,8706
101-kidney-intercalated-cell,+,9615
102-adrenal-gland-inflammatory-cell,+,9609
10-fetal-stromal-cell,+,13335
11-fetal-neuron,+,16764
12-erythroid-progenitor-cell-rp-high,+,9088
13-monocyte,+,13265
14-b-cell-plasmocyte,+,8075
15-fetal-enterocyte,+,12575
16-hepatocyte-endodermal-cell,+,11937
17-fetal-fibroblast,+,15480
18-fibroblast,+,13479
19-fetal-mesenchymal-progenitor,+,13827
1-fetal-epithelial-progenitor,+,15159
20-endothelial-cell,+,15341
21-fetal-stromal-cell,+,15335
22-dendritic-cell,+,11906
23-cb-cd34p,+,11181
24-t-cell,+,12349
25-loop-of-henle,+,12871
26-erythroid-cell,+,7788
27-stromal-cell,+,13747
28-oligodendrocyte,+,17942
29-endothelial-cell,+,13417
2-macrophage,+,14496
30-at2-cell,+,15493
31-monocyte,+,11311
32-thyroid-follicular-cell,+,14996
33-smooth-muscle-cell,+,13507
34-fibroblast,+,12406
35-smooth-muscle-cell,+,15170
36-fibroblast,+,11252
37-b-cell,+,11836
38-epithelial-cell,+,10107
39-enterocyte,+,11611
3-b-cell-plasmocyte,+,7132
40-neutrophil-rps-high,+,10208
41-antigen-presenting-cell-rps-high,+,11373
42-smooth-muscle-cell,+,14179
43-fetal-chondrocyte,+,11859
44-pancreas-exocrine-cell,+,8387
45-macrophage,+,17679
46-neutrophil,+,11951
47-m2-macrophage,+,11499
48-neutrophil,+,13788
49-epithelial-cell,+,12848
4-fibroblast,+,16879
50-gastric-chief-cell,+,3406
51-macrophage,+,14088
52-proliferating-t-cell,+,12357
53-fetal-neuron,+,16150
54-goblet-cell,+,10081
55-fasciculata-cell,+,14793
56-intercalated-cell,+,13464
57-stratified-epithelial-cell,+,13110
58-stromal-cell,+,10325
59-epithelial-cell,+,12323
5-fasciculata-cell,+,9827
60-epithelial-cell-intermediated,+,10703
61-sinusoidal-endothelial-cell,+,16264
62-primordial-germ-cell,+,17710
63-fasciculata-cell,+,10136
64-fetal-skeletal-muscle-cell,+,14332
65-enterocyte-progenitor,+,10171
66-endothelial-cell-emt,+,17593
67-basal-cell,+,12441
68-astrocyte,+,17340
69-macrophage,+,16849
6-t-cell,+,9780
70-fibroblast,+,13128
71-fetal-acinar-cell,+,17454
72-stromal-cell,+,16111
73-basal-cell,+,12007
74-ventricle-cardiomyocyte,+,12764
75-erythroid-cell,+,11856
76-mesothelial-cell,+,16136
77-ureteric-bud-cell,+,14308
78-macrophage,+,15551
79-smooth-muscle-cell,+,16084
7-fetal-mesenchymal-progenitor,+,15059
80-enterocyte,+,14168
81-epithelial-cell,+,10434
82-stratified-epithelial-cell,+,15607
83-proximal-tubule-progenitor,+,18675
84-gastric-endocrine-cell,+,14127
85-erythroid-cell,+,11972
86-mast-cell,+,14672
87-hesc,+,14288
88-fetal-endocrine-cell,+,15681
89-neutrophil,+,13825
8-endothelial-cell-apc,+,15207
90-goblet-cell,+,12741
91-goblet-cell,+,15318
92-immature-sertoli-cell,+,21469
93-myeloid-cell,+,20340
94-dendritic-cell,+,16566
95-stromal-cell,+,20548
96-fetal-neuron,+,20032
97-intermediated-cell,+,14408
98-epithelial-cell,+,22797
99-chondrocyte,+,14155
9-enterocyte-progenitor,+,10517
100-b-cell,-,8482
101-kidney-intercalated-cell,-,9069
102-adrenal-gland-inflammatory-cell,-,9255
10-fetal-stromal-cell,-,13271
11-fetal-neuron,-,16360
12-erythroid-progenitor-cell-rp-high,-,8806
13-monocyte,-,13079
14-b-cell-plasmocyte,-,7633
15-fetal-enterocyte,-,12059
16-hepatocyte-endodermal-cell,-,11287
17-fetal-fibroblast,-,14898
18-fibroblast,-,13056
19-fetal-mesenchymal-progenitor,-,13542
1-fetal-epithelial-progenitor,-,14526
20-endothelial-cell,-,15036
21-fetal-stromal-cell,-,14968
22-dendritic-cell,-,11345
23-cb-cd34p,-,10962
24-t-cell,-,11650
25-loop-of-henle,-,12378
26-erythroid-cell,-,7485
27-stromal-cell,-,13489
28-oligodendrocyte,-,17615
29-endothelial-cell,-,12974
2-macrophage,-,13836
30-at2-cell,-,15269
31-monocyte,-,10797
32-thyroid-follicular-cell,-,14424
33-smooth-muscle-cell,-,12868
34-fibroblast,-,11854
35-smooth-muscle-cell,-,14509
36-fibroblast,-,10925
37-b-cell,-,11269
38-epithelial-cell,-,9708
39-enterocyte,-,10645
3-b-cell-plasmocyte,-,6893
40-neutrophil-rps-high,-,10053
41-antigen-presenting-cell-rps-high,-,10937
42-smooth-muscle-cell,-,13481
43-fetal-chondrocyte,-,11981
44-pancreas-exocrine-cell,-,7967
45-macrophage,-,16753
46-neutrophil,-,11835
47-m2-macrophage,-,10925
48-neutrophil,-,13701
49-epithelial-cell,-,12493
4-fibroblast,-,15886
50-gastric-chief-cell,-,2946
51-macrophage,-,13735
52-proliferating-t-cell,-,11869
53-fetal-neuron,-,15644
54-goblet-cell,-,9341
55-fasciculata-cell,-,14214
56-intercalated-cell,-,13013
57-stratified-epithelial-cell,-,12654
58-stromal-cell,-,9858
59-epithelial-cell,-,11873
5-fasciculata-cell,-,9412
60-epithelial-cell-intermediated,-,10263
61-sinusoidal-endothelial-cell,-,15685
62-primordial-germ-cell,-,16609
63-fasciculata-cell,-,9724
64-fetal-skeletal-muscle-cell,-,14027
65-enterocyte-progenitor,-,9581
66-endothelial-cell-emt,-,17124
67-basal-cell,-,11711
68-astrocyte,-,17093
69-macrophage,-,16216
6-t-cell,-,9282
70-fibroblast,-,12772
71-fetal-acinar-cell,-,16778
72-stromal-cell,-,15669
73-basal-cell,-,11539
74-ventricle-cardiomyocyte,-,12350
75-erythroid-cell,-,11740
76-mesothelial-cell,-,15096
77-ureteric-bud-cell,-,14015
78-macrophage,-,15128
79-smooth-muscle-cell,-,15680
7-fetal-mesenchymal-progenitor,-,14555
80-enterocyte,-,13649
81-epithelial-cell,-,9889
82-stratified-epithelial-cell,-,14681
83-proximal-tubule-progenitor,-,18290
84-gastric-endocrine-cell,-,13386
85-erythroid-cell,-,11633
86-mast-cell,-,14106
87-hesc,-,13856
88-fetal-endocrine-cell,-,15170
89-neutrophil,-,13585
8-endothelial-cell-apc,-,14806
90-goblet-cell,-,12049
91-goblet-cell,-,14397
92-immature-sertoli-cell,-,20688
93-myeloid-cell,-,19768
94-dendritic-cell,-,16008
95-stromal-cell,-,19990
96-fetal-neuron,-,19858
97-intermediated-cell,-,13792
98-epithelial-cell,-,22793
99-chondrocyte,-,14039
9-enterocyte-progenitor,-,9699
