celltype_id,strand,cts_total
100-b-cell,+,12667
101-kidney-intercalated-cell,+,13302
102-adrenal-gland-inflammatory-cell,+,14794
10-fetal-stromal-cell,+,35743
11-fetal-neuron,+,45839
12-erythroid-progenitor-cell-rp-high,+,21574
13-monocyte,+,39944
14-b-cell-plasmocyte,+,21285
15-fetal-enterocyte,+,30924
16-hepatocyte-endodermal-cell,+,28983
17-fetal-fibroblast,+,38545
18-fibroblast,+,35164
19-fetal-mesenchymal-progenitor,+,36402
1-fetal-epithelial-progenitor,+,40833
20-endothelial-cell,+,39997
21-fetal-stromal-cell,+,44501
22-dendritic-cell,+,32047
23-cb-cd34p,+,31555
24-t-cell,+,35059
25-loop-of-henle,+,35926
26-erythroid-cell,+,19924
27-stromal-cell,+,34421
28-oligodendrocyte,+,52293
29-endothelial-cell,+,40550
2-macrophage,+,39497
30-at2-cell,+,45031
31-monocyte,+,31281
32-thyroid-follicular-cell,+,41252
33-smooth-muscle-cell,+,35562
34-fibroblast,+,31962
35-smooth-muscle-cell,+,42870
36-fibroblast,+,30856
37-b-cell,+,30727
38-epithelial-cell,+,27067
39-enterocyte,+,31424
3-b-cell-plasmocyte,+,19623
40-neutrophil-rps-high,+,29760
41-antigen-presenting-cell-rps-high,+,33275
42-smooth-muscle-cell,+,40560
43-fetal-chondrocyte,+,30273
44-pancreas-exocrine-cell,+,24791
45-macrophage,+,49459
46-neutrophil,+,34075
47-m2-macrophage,+,29844
48-neutrophil,+,38793
49-epithelial-cell,+,35463
4-fibroblast,+,51875
50-gastric-chief-cell,+,9069
51-macrophage,+,36820
52-proliferating-t-cell,+,29211
53-fetal-neuron,+,41273
54-goblet-cell,+,26047
55-fasciculata-cell,+,55939
56-intercalated-cell,+,34719
57-stratified-epithelial-cell,+,37156
58-stromal-cell,+,28720
59-epithelial-cell,+,35589
5-fasciculata-cell,+,25688
60-epithelial-cell-intermediated,+,26892
61-sinusoidal-endothelial-cell,+,44101
62-primordial-germ-cell,+,42746
63-fasciculata-cell,+,26484
64-fetal-skeletal-muscle-cell,+,54856
65-enterocyte-progenitor,+,38919
66-endothelial-cell-emt,+,47661
67-basal-cell,+,33859
68-astrocyte,+,57641
69-macrophage,+,48122
6-t-cell,+,25012
70-fibroblast,+,52417
71-fetal-acinar-cell,+,71923
72-stromal-cell,+,37489
73-basal-cell,+,31980
74-ventricle-cardiomyocyte,+,28970
75-erythroid-cell,+,30155
76-mesothelial-cell,+,61938
77-ureteric-bud-cell,+,51146
78-macrophage,+,35748
79-smooth-muscle-cell,+,39116
7-fetal-mesenchymal-progenitor,+,41224
80-enterocyte,+,38071
81-epithelial-cell,+,27746
82-stratified-epithelial-cell,+,36743
83-proximal-tubule-progenitor,+,64640
84-gastric-endocrine-cell,+,29190
85-erythroid-cell,+,26052
86-mast-cell,+,51649
87-hesc,+,40082
88-fetal-endocrine-cell,+,34585
89-neutrophil,+,28809
8-endothelial-cell-apc,+,40557
90-goblet-cell,+,38594
91-goblet-cell,+,33910
92-immature-sertoli-cell,+,53954
93-myeloid-cell,+,25863
94-dendritic-cell,+,37099
95-stromal-cell,+,28487
96-fetal-neuron,+,25932
97-intermediated-cell,+,18703
98-epithelial-cell,+,30333
99-chondrocyte,+,19124
9-enterocyte-progenitor,+,28294
100-b-cell,-,11135
101-kidney-intercalated-cell,-,11862
102-adrenal-gland-inflammatory-cell,-,12682
10-fetal-stromal-cell,-,35839
11-fetal-neuron,-,44240
12-erythroid-progenitor-cell-rp-high,-,21005
13-monocyte,-,38543
14-b-cell-plasmocyte,-,20056
15-fetal-enterocyte,-,29480
16-hepatocyte-endodermal-cell,-,27821
17-fetal-fibroblast,-,37028
18-fibroblast,-,32996
19-fetal-mesenchymal-progenitor,-,35427
1-fetal-epithelial-progenitor,-,39443
20-endothelial-cell,-,39125
21-fetal-stromal-cell,-,42966
22-dendritic-cell,-,30552
23-cb-cd34p,-,30511
24-t-cell,-,32830
25-loop-of-henle,-,33996
26-erythroid-cell,-,18900
27-stromal-cell,-,32851
28-oligodendrocyte,-,49698
29-endothelial-cell,-,37646
2-macrophage,-,36927
30-at2-cell,-,42717
31-monocyte,-,29231
32-thyroid-follicular-cell,-,38205
33-smooth-muscle-cell,-,32528
34-fibroblast,-,29322
35-smooth-muscle-cell,-,40812
36-fibroblast,-,29537
37-b-cell,-,29034
38-epithelial-cell,-,25108
39-enterocyte,-,28186
3-b-cell-plasmocyte,-,18117
40-neutrophil-rps-high,-,29568
41-antigen-presenting-cell-rps-high,-,31753
42-smooth-muscle-cell,-,38374
43-fetal-chondrocyte,-,30829
44-pancreas-exocrine-cell,-,22858
45-macrophage,-,45932
