celltype_id,strand,cts_total
100-b-cell,+,8956
101-kidney-intercalated-cell,+,9893
102-adrenal-gland-inflammatory-cell,+,9847
10-fetal-stromal-cell,+,13521
11-fetal-neuron,+,16984
12-erythroid-progenitor-cell-rp-high,+,9250
13-monocyte,+,13411
14-b-cell-plasmocyte,+,8177
15-fetal-enterocyte,+,12755
16-hepatocyte-endodermal-cell,+,12090
17-fetal-fibroblast,+,15676
18-fibroblast,+,13719
19-fetal-mesenchymal-progenitor,+,14043
1-fetal-epithelial-progenitor,+,15340
20-endothelial-cell,+,15533
21-fetal-stromal-cell,+,15581
22-dendritic-cell,+,12075
23-cb-cd34p,+,11307
24-t-cell,+,12520
25-loop-of-henle,+,13076
26-erythroid-cell,+,7917
27-stromal-cell,+,13935
28-oligodendrocyte,+,18173
29-endothelial-cell,+,13609
2-macrophage,+,14718
30-at2-cell,+,15704
31-monocyte,+,11519
32-thyroid-follicular-cell,+,15206
33-smooth-muscle-cell,+,13661
34-fibroblast,+,12595
35-smooth-muscle-cell,+,15412
36-fibroblast,+,11434
37-b-cell,+,11988
38-epithelial-cell,+,10268
39-enterocyte,+,11710
3-b-cell-plasmocyte,+,7255
40-neutrophil-rps-high,+,10340
41-antigen-presenting-cell-rps-high,+,11547
42-smooth-muscle-cell,+,14375
43-fetal-chondrocyte,+,12040
44-pancreas-exocrine-cell,+,8482
45-macrophage,+,17840
46-neutrophil,+,12115
47-m2-macrophage,+,11647
48-neutrophil,+,13974
49-epithelial-cell,+,13097
4-fibroblast,+,17086
50-gastric-chief-cell,+,3420
51-macrophage,+,14276
52-proliferating-t-cell,+,12525
53-fetal-neuron,+,16329
54-goblet-cell,+,10188
55-fasciculata-cell,+,15044
56-intercalated-cell,+,13680
57-stratified-epithelial-cell,+,13263
58-stromal-cell,+,10475
59-epithelial-cell,+,12502
5-fasciculata-cell,+,9978
60-epithelial-cell-intermediated,+,10868
61-sinusoidal-endothelial-cell,+,16504
62-primordial-germ-cell,+,17906
63-fasciculata-cell,+,10305
64-fetal-skeletal-muscle-cell,+,14538
65-enterocyte-progenitor,+,10315
66-endothelial-cell-emt,+,17820
67-basal-cell,+,12617
68-astrocyte,+,17555
69-macrophage,+,17081
6-t-cell,+,9906
70-fibroblast,+,13339
71-fetal-acinar-cell,+,17634
72-stromal-cell,+,16338
73-basal-cell,+,12185
74-ventricle-cardiomyocyte,+,12965
75-erythroid-cell,+,12010
76-mesothelial-cell,+,16369
77-ureteric-bud-cell,+,14534
78-macrophage,+,15762
79-smooth-muscle-cell,+,16315
7-fetal-mesenchymal-progenitor,+,15242
80-enterocyte,+,14334
81-epithelial-cell,+,10621
82-stratified-epithelial-cell,+,15844
83-proximal-tubule-progenitor,+,18918
84-gastric-endocrine-cell,+,14380
85-erythroid-cell,+,12183
86-mast-cell,+,14920
87-hesc,+,14468
88-fetal-endocrine-cell,+,15826
89-neutrophil,+,14016
8-endothelial-cell-apc,+,15442
90-goblet-cell,+,12915
91-goblet-cell,+,15582
