celltype_id,strand,cts_total
100-b-cell,+,5255
101-kidney-intercalated-cell,+,6060
102-adrenal-gland-inflammatory-cell,+,6141
10-fetal-stromal-cell,+,9700
11-fetal-neuron,+,11540
12-erythroid-progenitor-cell-rp-high,+,6718
13-monocyte,+,9267
14-b-cell-plasmocyte,+,5682
15-fetal-enterocyte,+,9134
16-hepatocyte-endodermal-cell,+,8715
17-fetal-fibroblast,+,10649
18-fibroblast,+,9905
19-fetal-mesenchymal-progenitor,+,10000
1-fetal-epithelial-progenitor,+,10997
20-endothelial-cell,+,11131
21-fetal-stromal-cell,+,10718
22-dendritic-cell,+,8481
23-cb-cd34p,+,7989
24-t-cell,+,8618
25-loop-of-henle,+,9291
26-erythroid-cell,+,5745
27-stromal-cell,+,9445
28-oligodendrocyte,+,12665
29-endothelial-cell,+,10040
2-macrophage,+,10579
30-at2-cell,+,11222
31-monocyte,+,8323
32-thyroid-follicular-cell,+,10738
33-smooth-muscle-cell,+,10221
34-fibroblast,+,8798
35-smooth-muscle-cell,+,10616
36-fibroblast,+,7954
37-b-cell,+,8282
38-epithelial-cell,+,7689
39-enterocyte,+,8183
3-b-cell-plasmocyte,+,4896
40-neutrophil-rps-high,+,6998
41-antigen-presenting-cell-rps-high,+,7918
42-smooth-muscle-cell,+,10322
43-fetal-chondrocyte,+,8118
44-pancreas-exocrine-cell,+,5905
45-macrophage,+,11844
46-neutrophil,+,8211
47-m2-macrophage,+,8581
48-neutrophil,+,9324
49-epithelial-cell,+,9517
4-fibroblast,+,12186
50-gastric-chief-cell,+,2148
51-macrophage,+,9272
52-proliferating-t-cell,+,8734
53-fetal-neuron,+,11724
54-goblet-cell,+,7388
55-fasciculata-cell,+,9645
56-intercalated-cell,+,9342
57-stratified-epithelial-cell,+,9592
58-stromal-cell,+,7580
59-epithelial-cell,+,9139
5-fasciculata-cell,+,7258
60-epithelial-cell-intermediated,+,7485
61-sinusoidal-endothelial-cell,+,11608
62-primordial-germ-cell,+,11176
63-fasciculata-cell,+,7456
64-fetal-skeletal-muscle-cell,+,9191
65-enterocyte-progenitor,+,7882
66-endothelial-cell-emt,+,12170
67-basal-cell,+,9463
68-astrocyte,+,12740
69-macrophage,+,10817
6-t-cell,+,7021
70-fibroblast,+,8263
71-fetal-acinar-cell,+,13600
72-stromal-cell,+,11294
73-basal-cell,+,8266
74-ventricle-cardiomyocyte,+,8886
75-erythroid-cell,+,8040
76-mesothelial-cell,+,10832
77-ureteric-bud-cell,+,11122
78-macrophage,+,9679
79-smooth-muscle-cell,+,10598
7-fetal-mesenchymal-progenitor,+,10747
80-enterocyte,+,9452
81-epithelial-cell,+,7119
82-stratified-epithelial-cell,+,10052
83-proximal-tubule-progenitor,+,14268
84-gastric-endocrine-cell,+,10293
85-erythroid-cell,+,8627
86-mast-cell,+,11500
87-hesc,+,9660
88-fetal-endocrine-cell,+,11366
89-neutrophil,+,10047
8-endothelial-cell-apc,+,11099
90-goblet-cell,+,8198
91-goblet-cell,+,11143
92-immature-sertoli-cell,+,13843
93-myeloid-cell,+,9522
94-dendritic-cell,+,12084
95-stromal-cell,+,12050
96-fetal-neuron,+,10781
