celltype_id,strand,cts_total
100-b-cell,+,9791
101-kidney-intercalated-cell,+,11014
102-adrenal-gland-inflammatory-cell,+,10945
10-fetal-stromal-cell,+,14532
11-fetal-neuron,+,17909
12-erythroid-progenitor-cell-rp-high,+,9957
13-monocyte,+,14188
14-b-cell-plasmocyte,+,8793
15-fetal-enterocyte,+,13613
16-hepatocyte-endodermal-cell,+,13000
17-fetal-fibroblast,+,16573
18-fibroblast,+,14555
19-fetal-mesenchymal-progenitor,+,14945
1-fetal-epithelial-progenitor,+,16289
20-endothelial-cell,+,16591
21-fetal-stromal-cell,+,16590
22-dendritic-cell,+,12904
23-cb-cd34p,+,11954
24-t-cell,+,13274
25-loop-of-henle,+,13952
26-erythroid-cell,+,8519
27-stromal-cell,+,14964
28-oligodendrocyte,+,19178
29-endothelial-cell,+,14528
2-macrophage,+,15627
30-at2-cell,+,16650
31-monocyte,+,12409
32-thyroid-follicular-cell,+,16349
33-smooth-muscle-cell,+,14576
34-fibroblast,+,13366
35-smooth-muscle-cell,+,16687
36-fibroblast,+,12311
37-b-cell,+,12695
38-epithelial-cell,+,11015
39-enterocyte,+,12421
3-b-cell-plasmocyte,+,7773
40-neutrophil-rps-high,+,11002
41-antigen-presenting-cell-rps-high,+,12298
42-smooth-muscle-cell,+,15361
43-fetal-chondrocyte,+,12980
44-pancreas-exocrine-cell,+,9039
45-macrophage,+,18692
46-neutrophil,+,12850
47-m2-macrophage,+,12577
48-neutrophil,+,14819
49-epithelial-cell,+,14331
4-fibroblast,+,18115
50-gastric-chief-cell,+,3427
51-macrophage,+,15227
52-proliferating-t-cell,+,13400
53-fetal-neuron,+,17318
54-goblet-cell,+,10733
55-fasciculata-cell,+,16226
56-intercalated-cell,+,14629
57-stratified-epithelial-cell,+,14132
58-stromal-cell,+,11273
59-epithelial-cell,+,13291
5-fasciculata-cell,+,10745
60-epithelial-cell-intermediated,+,11727
61-sinusoidal-endothelial-cell,+,17757
62-primordial-germ-cell,+,18730
63-fasciculata-cell,+,11050
64-fetal-skeletal-muscle-cell,+,15537
65-enterocyte-progenitor,+,11055
