celltype_id,strand,cts_total
100-b-cell,+,5616
101-kidney-intercalated-cell,+,6589
102-adrenal-gland-inflammatory-cell,+,6718
10-fetal-stromal-cell,+,10311
11-fetal-neuron,+,12066
12-erythroid-progenitor-cell-rp-high,+,7212
13-monocyte,+,9706
14-b-cell-plasmocyte,+,6062
15-fetal-enterocyte,+,9698
16-hepatocyte-endodermal-cell,+,9288
17-fetal-fibroblast,+,11225
18-fibroblast,+,10471
19-fetal-mesenchymal-progenitor,+,10592
1-fetal-epithelial-progenitor,+,11593
20-endothelial-cell,+,11757
21-fetal-stromal-cell,+,11398
22-dendritic-cell,+,9019
23-cb-cd34p,+,8394
24-t-cell,+,9086
25-loop-of-henle,+,9799
26-erythroid-cell,+,6183
27-stromal-cell,+,10081
28-oligodendrocyte,+,13271
29-endothelial-cell,+,10588
2-macrophage,+,11134
30-at2-cell,+,11760
31-monocyte,+,8869
32-thyroid-follicular-cell,+,11403
33-smooth-muscle-cell,+,10800
34-fibroblast,+,9243
35-smooth-muscle-cell,+,11307
36-fibroblast,+,8428
37-b-cell,+,8771
38-epithelial-cell,+,8195
39-enterocyte,+,8618
3-b-cell-plasmocyte,+,5257
40-neutrophil-rps-high,+,7442
41-antigen-presenting-cell-rps-high,+,8440
42-smooth-muscle-cell,+,10942
43-fetal-chondrocyte,+,8707
44-pancreas-exocrine-cell,+,6166
45-macrophage,+,12366
46-neutrophil,+,8706
47-m2-macrophage,+,9148
48-neutrophil,+,9827
49-epithelial-cell,+,10229
4-fibroblast,+,12723
50-gastric-chief-cell,+,2157
51-macrophage,+,9780
52-proliferating-t-cell,+,9246
53-fetal-neuron,+,12304
54-goblet-cell,+,7659
55-fasciculata-cell,+,10338
56-intercalated-cell,+,9934
57-stratified-epithelial-cell,+,10121
58-stromal-cell,+,8070
59-epithelial-cell,+,9598
5-fasciculata-cell,+,7779
60-epithelial-cell-intermediated,+,7983
61-sinusoidal-endothelial-cell,+,12307
62-primordial-germ-cell,+,11656
63-fasciculata-cell,+,7993
64-fetal-skeletal-muscle-cell,+,9713
65-enterocyte-progenitor,+,8349
66-endothelial-cell-emt,+,12794
67-basal-cell,+,9995
68-astrocyte,+,13507
69-macrophage,+,11398
6-t-cell,+,7455
70-fibroblast,+,8799
71-fetal-acinar-cell,+,14186
72-stromal-cell,+,11867
73-basal-cell,+,8783
74-ventricle-cardiomyocyte,+,9488
75-erythroid-cell,+,8418
76-mesothelial-cell,+,11338
77-ureteric-bud-cell,+,11822
78-macrophage,+,10291
79-smooth-muscle-cell,+,11233
7-fetal-mesenchymal-progenitor,+,11353
80-enterocyte,+,9943
81-epithelial-cell,+,7612
82-stratified-epithelial-cell,+,10557
83-proximal-tubule-progenitor,+,15009
84-gastric-endocrine-cell,+,10943
85-erythroid-cell,+,9215
86-mast-cell,+,12216
87-hesc,+,10181
88-fetal-endocrine-cell,+,11870
89-neutrophil,+,10621
8-endothelial-cell-apc,+,11803
90-goblet-cell,+,8692
91-goblet-cell,+,11877
92-immature-sertoli-cell,+,14488
93-myeloid-cell,+,10206
94-dendritic-cell,+,12859
95-stromal-cell,+,12936
96-fetal-neuron,+,11482
97-intermediated-cell,+,8415
98-epithelial-cell,+,11303
99-chondrocyte,+,15119
9-enterocyte-progenitor,+,7750
100-b-cell,-,5325
101-kidney-intercalated-cell,-,6031
102-adrenal-gland-inflammatory-cell,-,6214
10-fetal-stromal-cell,-,10180
11-fetal-neuron,-,11548
12-erythroid-progenitor-cell-rp-high,-,6778
13-monocyte,-,9261
14-b-cell-plasmocyte,-,5731
15-fetal-enterocyte,-,9171
16-hepatocyte-endodermal-cell,-,8760
17-fetal-fibroblast,-,10650
18-fibroblast,-,9996
19-fetal-mesenchymal-progenitor,-,10193
1-fetal-epithelial-progenitor,-,11031
20-endothelial-cell,-,11317
21-fetal-stromal-cell,-,10963
22-dendritic-cell,-,8533
23-cb-cd34p,-,8010
24-t-cell,-,8523
25-loop-of-henle,-,9151
26-erythroid-cell,-,5717
27-stromal-cell,-,9654
28-oligodendrocyte,-,12792
29-endothelial-cell,-,10258
2-macrophage,-,10612
30-at2-cell,-,11318
31-monocyte,-,8252
32-thyroid-follicular-cell,-,10791
33-smooth-muscle-cell,-,10240
34-fibroblast,-,8713
35-smooth-muscle-cell,-,10752
36-fibroblast,-,8151
37-b-cell,-,8096
38-epithelial-cell,-,7569
39-enterocyte,-,7734
3-b-cell-plasmocyte,-,4922
40-neutrophil-rps-high,-,7254
41-antigen-presenting-cell-rps-high,-,7827
42-smooth-muscle-cell,-,10317
43-fetal-chondrocyte,-,8561
44-pancreas-exocrine-cell,-,5801
45-macrophage,-,11475
46-neutrophil,-,8426
47-m2-macrophage,-,8552
48-neutrophil,-,9572
49-epithelial-cell,-,10004
4-fibroblast,-,12191
50-gastric-chief-cell,-,1855
51-macrophage,-,9363
52-proliferating-t-cell,-,8880
53-fetal-neuron,-,11753
54-goblet-cell,-,6925
55-fasciculata-cell,-,9723
56-intercalated-cell,-,9228
57-stratified-epithelial-cell,-,9503
58-stromal-cell,-,7546
59-epithelial-cell,-,8993
5-fasciculata-cell,-,7241
60-epithelial-cell-intermediated,-,7496
61-sinusoidal-endothelial-cell,-,11702
62-primordial-germ-cell,-,10817
63-fasciculata-cell,-,7444
64-fetal-skeletal-muscle-cell,-,9421
65-enterocyte-progenitor,-,7773
66-endothelial-cell-emt,-,12402
67-basal-cell,-,9449
68-astrocyte,-,13013
69-macrophage,-,10769
6-t-cell,-,6923
70-fibroblast,-,8377
71-fetal-acinar-cell,-,13562
72-stromal-cell,-,11382
73-basal-cell,-,8279
74-ventricle-cardiomyocyte,-,8842
75-erythroid-cell,-,8153
76-mesothelial-cell,-,10418
77-ureteric-bud-cell,-,11390
78-macrophage,-,9788
79-smooth-muscle-cell,-,10773
7-fetal-mesenchymal-progenitor,-,10876
80-enterocyte,-,9290
81-epithelial-cell,-,6806
82-stratified-epithelial-cell,-,9752
83-proximal-tubule-progenitor,-,14541
84-gastric-endocrine-cell,-,10216
85-erythroid-cell,-,8697
86-mast-cell,-,11464
87-hesc,-,9666
88-fetal-endocrine-cell,-,11272
89-neutrophil,-,10208
8-endothelial-cell-apc,-,11292
90-goblet-cell,-,7847
91-goblet-cell,-,11101
92-immature-sertoli-cell,-,13717
93-myeloid-cell,-,9693
94-dendritic-cell,-,12385
95-stromal-cell,-,12453
96-fetal-neuron,-,11152
97-intermediated-cell,-,7716
98-epithelial-cell,-,10786
99-chondrocyte,-,14981
9-enterocyte-progenitor,-,6909
