celltype_id,strand,cts_total
100-b-cell,+,8706
101-kidney-intercalated-cell,+,9615
102-adrenal-gland-inflammatory-cell,+,9609
10-fetal-stromal-cell,+,93427
11-fetal-neuron,+,187331
12-erythroid-progenitor-cell-rp-high,+,192695
13-monocyte,+,152513
14-b-cell-plasmocyte,+,141933
15-fetal-enterocyte,+,145368
16-hepatocyte-endodermal-cell,+,123600
17-fetal-fibroblast,+,139783
18-fibroblast,+,156952
19-fetal-mesenchymal-progenitor,+,128417
1-fetal-epithelial-progenitor,+,243890
20-endothelial-cell,+,161067
21-fetal-stromal-cell,+,202247
22-dendritic-cell,+,139059
23-cb-cd34p,+,144246
24-t-cell,+,152716
25-loop-of-henle,+,140917
26-erythroid-cell,+,114340
27-stromal-cell,+,97813
28-oligodendrocyte,+,251969
29-endothelial-cell,+,91293
2-macrophage,+,239861
30-at2-cell,+,168065
31-monocyte,+,111039
32-thyroid-follicular-cell,+,144243
33-smooth-muscle-cell,+,92200
34-fibroblast,+,114070
35-smooth-muscle-cell,+,103413
36-fibroblast,+,56244
37-b-cell,+,127332
38-epithelial-cell,+,63448
39-enterocyte,+,157573
3-b-cell-plasmocyte,+,158679
40-neutrophil-rps-high,+,79574
41-antigen-presenting-cell-rps-high,+,87958
42-smooth-muscle-cell,+,88583
43-fetal-chondrocyte,+,91585
44-pancreas-exocrine-cell,+,38261
45-macrophage,+,200479
46-neutrophil,+,104698
47-m2-macrophage,+,102240
48-neutrophil,+,88516
49-epithelial-cell,+,68474
4-fibroblast,+,129828
50-gastric-chief-cell,+,90860
51-macrophage,+,83216
52-proliferating-t-cell,+,63695
53-fetal-neuron,+,90721
54-goblet-cell,+,115516
55-fasciculata-cell,+,43282
56-intercalated-cell,+,92439
57-stratified-epithelial-cell,+,86185
58-stromal-cell,+,62824
59-epithelial-cell,+,117676
5-fasciculata-cell,+,101944
60-epithelial-cell-intermediated,+,71659
61-sinusoidal-endothelial-cell,+,57488
62-primordial-germ-cell,+,106512
63-fasciculata-cell,+,82629
64-fetal-skeletal-muscle-cell,+,43425
65-enterocyte-progenitor,+,28888
66-endothelial-cell-emt,+,112705
67-basal-cell,+,73826
68-astrocyte,+,91794
69-macrophage,+,70045
6-t-cell,+,223065
70-fibroblast,+,39086
71-fetal-acinar-cell,+,56822
72-stromal-cell,+,102644
73-basal-cell,+,44093
74-ventricle-cardiomyocyte,+,72635
75-erythroid-cell,+,47557
76-mesothelial-cell,+,45315
77-ureteric-bud-cell,+,39666
78-macrophage,+,50869
79-smooth-muscle-cell,+,58062
7-fetal-mesenchymal-progenitor,+,279621
80-enterocyte,+,104832
81-epithelial-cell,+,78164
82-stratified-epithelial-cell,+,55691
83-proximal-tubule-progenitor,+,51489
84-gastric-endocrine-cell,+,37129
85-erythroid-cell,+,42491
86-mast-cell,+,39104
87-hesc,+,56212
88-fetal-endocrine-cell,+,52449
89-neutrophil,+,42506
8-endothelial-cell-apc,+,187152
90-goblet-cell,+,79488
91-goblet-cell,+,25369
92-immature-sertoli-cell,+,86431
93-myeloid-cell,+,20340
94-dendritic-cell,+,27271
95-stromal-cell,+,20548
96-fetal-neuron,+,20032
97-intermediated-cell,+,14408
98-epithelial-cell,+,22797
99-chondrocyte,+,14155
9-enterocyte-progenitor,+,238763
100-b-cell,-,8482
101-kidney-intercalated-cell,-,9069
102-adrenal-gland-inflammatory-cell,-,9255
10-fetal-stromal-cell,-,95873
11-fetal-neuron,-,190525
12-erythroid-progenitor-cell-rp-high,-,198373
13-monocyte,-,154802
14-b-cell-plasmocyte,-,144874
15-fetal-enterocyte,-,147543
16-hepatocyte-endodermal-cell,-,125079
17-fetal-fibroblast,-,140849
18-fibroblast,-,157671
19-fetal-mesenchymal-progenitor,-,130036
1-fetal-epithelial-progenitor,-,247169
20-endothelial-cell,-,164638
21-fetal-stromal-cell,-,206338
22-dendritic-cell,-,140691
23-cb-cd34p,-,146035
24-t-cell,-,154292
25-loop-of-henle,-,141784
26-erythroid-cell,-,117706
27-stromal-cell,-,98488
28-oligodendrocyte,-,256406
29-endothelial-cell,-,91486
2-macrophage,-,240973
30-at2-cell,-,169705
31-monocyte,-,113291
32-thyroid-follicular-cell,-,144522
33-smooth-muscle-cell,-,90488
34-fibroblast,-,113748
35-smooth-muscle-cell,-,104055
36-fibroblast,-,55982
37-b-cell,-,127411
38-epithelial-cell,-,64056
39-enterocyte,-,155343
3-b-cell-plasmocyte,-,160720
40-neutrophil-rps-high,-,80619
41-antigen-presenting-cell-rps-high,-,88527
42-smooth-muscle-cell,-,87879
43-fetal-chondrocyte,-,95600
44-pancreas-exocrine-cell,-,37843
45-macrophage,-,202303
46-neutrophil,-,107480
47-m2-macrophage,-,102539
48-neutrophil,-,90404
49-epithelial-cell,-,69672
4-fibroblast,-,128862
50-gastric-chief-cell,-,88619
51-macrophage,-,83430
52-proliferating-t-cell,-,64664
53-fetal-neuron,-,91014
54-goblet-cell,-,113931
55-fasciculata-cell,-,43692
56-intercalated-cell,-,92551
57-stratified-epithelial-cell,-,85785
58-stromal-cell,-,63133
59-epithelial-cell,-,117300
5-fasciculata-cell,-,101578
60-epithelial-cell-intermediated,-,71907
61-sinusoidal-endothelial-cell,-,57583
62-primordial-germ-cell,-,107617
63-fasciculata-cell,-,82128
64-fetal-skeletal-muscle-cell,-,44035
65-enterocyte-progenitor,-,28553
66-endothelial-cell-emt,-,112203
67-basal-cell,-,72394
68-astrocyte,-,91855
69-macrophage,-,70158
6-t-cell,-,228086
70-fibroblast,-,39152
71-fetal-acinar-cell,-,56142
72-stromal-cell,-,105698
73-basal-cell,-,43673
74-ventricle-cardiomyocyte,-,74131
75-erythroid-cell,-,47817
76-mesothelial-cell,-,43586
77-ureteric-bud-cell,-,39705
78-macrophage,-,51366
79-smooth-muscle-cell,-,57753
7-fetal-mesenchymal-progenitor,-,286042
80-enterocyte,-,105755
81-epithelial-cell,-,77567
82-stratified-epithelial-cell,-,55015
83-proximal-tubule-progenitor,-,51233
84-gastric-endocrine-cell,-,36402
85-erythroid-cell,-,42958
86-mast-cell,-,38300
87-hesc,-,56395
88-fetal-endocrine-cell,-,51940
89-neutrophil,-,42250
8-endothelial-cell-apc,-,188267
90-goblet-cell,-,80143
91-goblet-cell,-,24196
92-immature-sertoli-cell,-,84907
93-myeloid-cell,-,19768
94-dendritic-cell,-,26747
95-stromal-cell,-,19990
96-fetal-neuron,-,19858
97-intermediated-cell,-,13792
98-epithelial-cell,-,22793
99-chondrocyte,-,14039
9-enterocyte-progenitor,-,238823
