celltype_id,strand,cts_total
100-b-cell,+,8956
101-kidney-intercalated-cell,+,9893
102-adrenal-gland-inflammatory-cell,+,9847
10-fetal-stromal-cell,+,95534
11-fetal-neuron,+,191111
12-erythroid-progenitor-cell-rp-high,+,196476
13-monocyte,+,155957
14-b-cell-plasmocyte,+,146090
15-fetal-enterocyte,+,148819
16-hepatocyte-endodermal-cell,+,126412
17-fetal-fibroblast,+,142258
18-fibroblast,+,160543
19-fetal-mesenchymal-progenitor,+,131055
1-fetal-epithelial-progenitor,+,248706
20-endothelial-cell,+,164315
21-fetal-stromal-cell,+,206360
22-dendritic-cell,+,142154
23-cb-cd34p,+,146601
24-t-cell,+,155618
25-loop-of-henle,+,144250
26-erythroid-cell,+,116531
27-stromal-cell,+,100127
28-oligodendrocyte,+,256138
29-endothelial-cell,+,93438
2-macrophage,+,245455
30-at2-cell,+,171269
31-monocyte,+,113154
32-thyroid-follicular-cell,+,148134
33-smooth-muscle-cell,+,94458
34-fibroblast,+,116193
35-smooth-muscle-cell,+,105960
36-fibroblast,+,57823
37-b-cell,+,129705
38-epithelial-cell,+,64967
39-enterocyte,+,160824
3-b-cell-plasmocyte,+,162705
40-neutrophil-rps-high,+,81360
41-antigen-presenting-cell-rps-high,+,89950
42-smooth-muscle-cell,+,90611
43-fetal-chondrocyte,+,93962
44-pancreas-exocrine-cell,+,39073
45-macrophage,+,204216
46-neutrophil,+,106583
47-m2-macrophage,+,104798
48-neutrophil,+,90214
49-epithelial-cell,+,70300
4-fibroblast,+,132933
50-gastric-chief-cell,+,92636
51-macrophage,+,85100
52-proliferating-t-cell,+,65431
53-fetal-neuron,+,92565
54-goblet-cell,+,117688
55-fasciculata-cell,+,44317
56-intercalated-cell,+,94571
57-stratified-epithelial-cell,+,88164
58-stromal-cell,+,64455
59-epithelial-cell,+,120423
5-fasciculata-cell,+,104354
60-epithelial-cell-intermediated,+,73471
61-sinusoidal-endothelial-cell,+,58964
62-primordial-germ-cell,+,108339
63-fasciculata-cell,+,84311
64-fetal-skeletal-muscle-cell,+,44412
65-enterocyte-progenitor,+,29619
66-endothelial-cell-emt,+,114723
67-basal-cell,+,75637
68-astrocyte,+,93632
69-macrophage,+,71614
6-t-cell,+,227052
70-fibroblast,+,40012
71-fetal-acinar-cell,+,57755
72-stromal-cell,+,104602
73-basal-cell,+,45120
74-ventricle-cardiomyocyte,+,74160
75-erythroid-cell,+,48512
76-mesothelial-cell,+,46422
77-ureteric-bud-cell,+,40612
78-macrophage,+,52299
79-smooth-muscle-cell,+,59348
7-fetal-mesenchymal-progenitor,+,285128
80-enterocyte,+,106963
81-epithelial-cell,+,79876
82-stratified-epithelial-cell,+,57035
83-proximal-tubule-progenitor,+,52561
84-gastric-endocrine-cell,+,38066
85-erythroid-cell,+,43458
86-mast-cell,+,40019
87-hesc,+,56987
88-fetal-endocrine-cell,+,53399
89-neutrophil,+,43389
8-endothelial-cell-apc,+,191682
90-goblet-cell,+,81074
91-goblet-cell,+,26029
