celltype_id,strand,cts_total
100-b-cell,+,9156
101-kidney-intercalated-cell,+,10180
102-adrenal-gland-inflammatory-cell,+,10090
10-fetal-stromal-cell,+,97456
11-fetal-neuron,+,194498
12-erythroid-progenitor-cell-rp-high,+,199711
13-monocyte,+,158793
14-b-cell-plasmocyte,+,149872
15-fetal-enterocyte,+,151776
16-hepatocyte-endodermal-cell,+,129111
17-fetal-fibroblast,+,144522
18-fibroblast,+,163746
19-fetal-mesenchymal-progenitor,+,133436
1-fetal-epithelial-progenitor,+,253010
20-endothelial-cell,+,167469
21-fetal-stromal-cell,+,210190
22-dendritic-cell,+,144879
23-cb-cd34p,+,148798
24-t-cell,+,158144
25-loop-of-henle,+,147157
26-erythroid-cell,+,118430
27-stromal-cell,+,102256
28-oligodendrocyte,+,259879
29-endothelial-cell,+,95232
2-macrophage,+,250186
30-at2-cell,+,174096
31-monocyte,+,115208
32-thyroid-follicular-cell,+,151541
33-smooth-muscle-cell,+,96469
34-fibroblast,+,117999
35-smooth-muscle-cell,+,108404
36-fibroblast,+,59329
37-b-cell,+,131823
38-epithelial-cell,+,66275
39-enterocyte,+,163501
3-b-cell-plasmocyte,+,166195
40-neutrophil-rps-high,+,82998
41-antigen-presenting-cell-rps-high,+,91712
42-smooth-muscle-cell,+,92545
43-fetal-chondrocyte,+,96273
44-pancreas-exocrine-cell,+,39962
45-macrophage,+,207296
46-neutrophil,+,108319
47-m2-macrophage,+,106999
48-neutrophil,+,91853
49-epithelial-cell,+,72056
4-fibroblast,+,135512
50-gastric-chief-cell,+,94189
51-macrophage,+,86728
52-proliferating-t-cell,+,66946
53-fetal-neuron,+,94270
54-goblet-cell,+,119577
55-fasciculata-cell,+,45345
56-intercalated-cell,+,96516
57-stratified-epithelial-cell,+,89876
58-stromal-cell,+,65998
59-epithelial-cell,+,122814
5-fasciculata-cell,+,106496
60-epithelial-cell-intermediated,+,75176
61-sinusoidal-endothelial-cell,+,60303
62-primordial-germ-cell,+,109981
63-fasciculata-cell,+,85850
64-fetal-skeletal-muscle-cell,+,45317
65-enterocyte-progenitor,+,30279
66-endothelial-cell-emt,+,116534
67-basal-cell,+,77285
68-astrocyte,+,95316
69-macrophage,+,73193
6-t-cell,+,230599
70-fibroblast,+,40805
71-fetal-acinar-cell,+,58701
72-stromal-cell,+,106477
73-basal-cell,+,46183
74-ventricle-cardiomyocyte,+,75721
75-erythroid-cell,+,49390
76-mesothelial-cell,+,47336
77-ureteric-bud-cell,+,41417
78-macrophage,+,53678
79-smooth-muscle-cell,+,60561
7-fetal-mesenchymal-progenitor,+,290032
80-enterocyte,+,108921
81-epithelial-cell,+,81412
82-stratified-epithelial-cell,+,58167
83-proximal-tubule-progenitor,+,53561
84-gastric-endocrine-cell,+,39005
85-erythroid-cell,+,44342
86-mast-cell,+,40801
87-hesc,+,57735
88-fetal-endocrine-cell,+,54410
89-neutrophil,+,44223
8-endothelial-cell-apc,+,195591
90-goblet-cell,+,82526
91-goblet-cell,+,26620
92-immature-sertoli-cell,+,88644
93-myeloid-cell,+,21184
94-dendritic-cell,+,28656
95-stromal-cell,+,21624
96-fetal-neuron,+,20946
97-intermediated-cell,+,15091
98-epithelial-cell,+,23636
99-chondrocyte,+,14741
9-enterocyte-progenitor,+,248278
100-b-cell,-,8960
101-kidney-intercalated-cell,-,9682
102-adrenal-gland-inflammatory-cell,-,9757
10-fetal-stromal-cell,-,101671
11-fetal-neuron,-,201050
12-erythroid-progenitor-cell-rp-high,-,207879
13-monocyte,-,163186
14-b-cell-plasmocyte,-,155094
15-fetal-enterocyte,-,156044
16-hepatocyte-endodermal-cell,-,132542
17-fetal-fibroblast,-,147102
18-fibroblast,-,166415
19-fetal-mesenchymal-progenitor,-,137618
1-fetal-epithelial-progenitor,-,260545
20-endothelial-cell,-,174147
21-fetal-stromal-cell,-,218118
22-dendritic-cell,-,148292
23-cb-cd34p,-,153029
24-t-cell,-,161499
25-loop-of-henle,-,149991
26-erythroid-cell,-,123088
27-stromal-cell,-,104233
28-oligodendrocyte,-,267806
29-endothelial-cell,-,96490
2-macrophage,-,254469
30-at2-cell,-,177752
31-monocyte,-,119110
32-thyroid-follicular-cell,-,153716
33-smooth-muscle-cell,-,95685
34-fibroblast,-,118473
35-smooth-muscle-cell,-,111137
36-fibroblast,-,59694
37-b-cell,-,133246
38-epithelial-cell,-,67507
39-enterocyte,-,162688
3-b-cell-plasmocyte,-,170331
40-neutrophil-rps-high,-,85392
41-antigen-presenting-cell-rps-high,-,93610
42-smooth-muscle-cell,-,92944
43-fetal-chondrocyte,-,102532
44-pancreas-exocrine-cell,-,39972
45-macrophage,-,211171
46-neutrophil,-,112679
47-m2-macrophage,-,108767
48-neutrophil,-,95124
49-epithelial-cell,-,74621
4-fibroblast,-,135732
50-gastric-chief-cell,-,92711
51-macrophage,-,87859
52-proliferating-t-cell,-,68891
53-fetal-neuron,-,96104
54-goblet-cell,-,119222
55-fasciculata-cell,-,46260
56-intercalated-cell,-,97843
57-stratified-epithelial-cell,-,90348
58-stromal-cell,-,67298
59-epithelial-cell,-,123934
5-fasciculata-cell,-,107452
