celltype_id,strand,cts_total
100-b-cell,+,5781
101-kidney-intercalated-cell,+,6822
102-adrenal-gland-inflammatory-cell,+,7029
10-fetal-stromal-cell,+,10597
11-fetal-neuron,+,12289
12-erythroid-progenitor-cell-rp-high,+,7480
13-monocyte,+,9935
14-b-cell-plasmocyte,+,6228
15-fetal-enterocyte,+,9980
16-hepatocyte-endodermal-cell,+,9580
17-fetal-fibroblast,+,11440
18-fibroblast,+,10731
19-fetal-mesenchymal-progenitor,+,10855
1-fetal-epithelial-progenitor,+,11888
20-endothelial-cell,+,12095
21-fetal-stromal-cell,+,11703
22-dendritic-cell,+,9291
23-cb-cd34p,+,8636
24-t-cell,+,9355
25-loop-of-henle,+,10093
26-erythroid-cell,+,6360
27-stromal-cell,+,10388
28-oligodendrocyte,+,13641
29-endothelial-cell,+,10938
2-macrophage,+,11448
30-at2-cell,+,12069
31-monocyte,+,9140
32-thyroid-follicular-cell,+,11749
33-smooth-muscle-cell,+,11126
34-fibroblast,+,9443
35-smooth-muscle-cell,+,11653
36-fibroblast,+,8700
37-b-cell,+,8999
38-epithelial-cell,+,8470
39-enterocyte,+,8878
3-b-cell-plasmocyte,+,5434
40-neutrophil-rps-high,+,7649
41-antigen-presenting-cell-rps-high,+,8637
42-smooth-muscle-cell,+,11245
43-fetal-chondrocyte,+,8988
44-pancreas-exocrine-cell,+,6321
45-macrophage,+,12633
46-neutrophil,+,8919
47-m2-macrophage,+,9481
48-neutrophil,+,10076
49-epithelial-cell,+,10542
4-fibroblast,+,13046
50-gastric-chief-cell,+,2140
51-macrophage,+,10072
52-proliferating-t-cell,+,9513
53-fetal-neuron,+,12583
54-goblet-cell,+,7800
55-fasciculata-cell,+,10680
56-intercalated-cell,+,10234
57-stratified-epithelial-cell,+,10386
58-stromal-cell,+,8305
59-epithelial-cell,+,9855
5-fasciculata-cell,+,8080
60-epithelial-cell-intermediated,+,8295
61-sinusoidal-endothelial-cell,+,12687
62-primordial-germ-cell,+,11910
63-fasciculata-cell,+,8271
64-fetal-skeletal-muscle-cell,+,9976
65-enterocyte-progenitor,+,8568
66-endothelial-cell-emt,+,13142
67-basal-cell,+,10279
68-astrocyte,+,13864
69-macrophage,+,11649
6-t-cell,+,7671
70-fibroblast,+,9072
71-fetal-acinar-cell,+,14506
72-stromal-cell,+,12185
73-basal-cell,+,9068
