celltype_id,strand,cts_total
100-b-cell,+,12667
101-kidney-intercalated-cell,+,13302
102-adrenal-gland-inflammatory-cell,+,14794
10-fetal-stromal-cell,+,16392
11-fetal-neuron,+,19916
12-erythroid-progenitor-cell-rp-high,+,11084
13-monocyte,+,15961
14-b-cell-plasmocyte,+,10022
15-fetal-enterocyte,+,15508
16-hepatocyte-endodermal-cell,+,14885
17-fetal-fibroblast,+,18243
18-fibroblast,+,17182
19-fetal-mesenchymal-progenitor,+,16816
1-fetal-epithelial-progenitor,+,18260
20-endothelial-cell,+,18252
21-fetal-stromal-cell,+,18453
22-dendritic-cell,+,14752
23-cb-cd34p,+,13437
24-t-cell,+,15080
25-loop-of-henle,+,16065
26-erythroid-cell,+,9527
27-stromal-cell,+,17158
28-oligodendrocyte,+,22312
29-endothelial-cell,+,17491
2-macrophage,+,18306
30-at2-cell,+,19500
31-monocyte,+,14638
32-thyroid-follicular-cell,+,18289
33-smooth-muscle-cell,+,17462
34-fibroblast,+,15922
35-smooth-muscle-cell,+,19276
36-fibroblast,+,14148
37-b-cell,+,14080
38-epithelial-cell,+,12818
39-enterocyte,+,14317
3-b-cell-plasmocyte,+,8824
40-neutrophil-rps-high,+,12124
41-antigen-presenting-cell-rps-high,+,14306
42-smooth-muscle-cell,+,17563
43-fetal-chondrocyte,+,14054
44-pancreas-exocrine-cell,+,10282
45-macrophage,+,20392
46-neutrophil,+,14226
47-m2-macrophage,+,15110
48-neutrophil,+,16527
49-epithelial-cell,+,17178
4-fibroblast,+,21542
50-gastric-chief-cell,+,3871
51-macrophage,+,17326
52-proliferating-t-cell,+,15490
53-fetal-neuron,+,19077
54-goblet-cell,+,12410
55-fasciculata-cell,+,18368
56-intercalated-cell,+,16838
57-stratified-epithelial-cell,+,16903
58-stromal-cell,+,13209
59-epithelial-cell,+,15531
5-fasciculata-cell,+,12289
60-epithelial-cell-intermediated,+,13382
61-sinusoidal-endothelial-cell,+,20789
62-primordial-germ-cell,+,20320
63-fasciculata-cell,+,12960
64-fetal-skeletal-muscle-cell,+,17218
65-enterocyte-progenitor,+,12700
66-endothelial-cell-emt,+,21579
67-basal-cell,+,15808
68-astrocyte,+,21580
69-macrophage,+,21323
6-t-cell,+,11614
70-fibroblast,+,16552
71-fetal-acinar-cell,+,20831
72-stromal-cell,+,18985
73-basal-cell,+,14998
74-ventricle-cardiomyocyte,+,15510
75-erythroid-cell,+,13867
76-mesothelial-cell,+,20747
77-ureteric-bud-cell,+,17398
78-macrophage,+,19319
79-smooth-muscle-cell,+,19670
7-fetal-mesenchymal-progenitor,+,18183
80-enterocyte,+,17044
81-epithelial-cell,+,13088
82-stratified-epithelial-cell,+,16350
83-proximal-tubule-progenitor,+,22137
84-gastric-endocrine-cell,+,17461
85-erythroid-cell,+,13980
86-mast-cell,+,18285
87-hesc,+,17579
88-fetal-endocrine-cell,+,18760
89-neutrophil,+,16905
8-endothelial-cell-apc,+,18593
90-goblet-cell,+,15155
91-goblet-cell,+,19240
92-immature-sertoli-cell,+,23104
93-myeloid-cell,+,25863
94-dendritic-cell,+,21168
95-stromal-cell,+,28487
96-fetal-neuron,+,25932
97-intermediated-cell,+,18703
98-epithelial-cell,+,30333
99-chondrocyte,+,19124
9-enterocyte-progenitor,+,12651
100-b-cell,-,11135
101-kidney-intercalated-cell,-,11862
102-adrenal-gland-inflammatory-cell,-,12682
10-fetal-stromal-cell,-,15972
11-fetal-neuron,-,18690
12-erythroid-progenitor-cell-rp-high,-,10354
13-monocyte,-,14952
14-b-cell-plasmocyte,-,9007
15-fetal-enterocyte,-,14425
16-hepatocyte-endodermal-cell,-,13658
17-fetal-fibroblast,-,17033
18-fibroblast,-,15341
19-fetal-mesenchymal-progenitor,-,15902
1-fetal-epithelial-progenitor,-,16880
20-endothelial-cell,-,17456
21-fetal-stromal-cell,-,17425
22-dendritic-cell,-,13308
23-cb-cd34p,-,12542
24-t-cell,-,13488
25-loop-of-henle,-,14381
26-erythroid-cell,-,8642
27-stromal-cell,-,15942
28-oligodendrocyte,-,20485
29-endothelial-cell,-,15540
2-macrophage,-,16423
30-at2-cell,-,17840
31-monocyte,-,13002
32-thyroid-follicular-cell,-,16145
33-smooth-muscle-cell,-,15302
34-fibroblast,-,14208
35-smooth-muscle-cell,-,17667
36-fibroblast,-,13387
37-b-cell,-,12768
38-epithelial-cell,-,11345
39-enterocyte,-,12103
3-b-cell-plasmocyte,-,7811
40-neutrophil-rps-high,-,11460
41-antigen-presenting-cell-rps-high,-,12910
42-smooth-muscle-cell,-,15745
43-fetal-chondrocyte,-,13721
44-pancreas-exocrine-cell,-,9367
45-macrophage,-,18082
