celltype_id,strand,cts_total
100-b-cell,+,10955
101-kidney-intercalated-cell,+,11189
102-adrenal-gland-inflammatory-cell,+,12519
10-fetal-stromal-cell,+,32156
11-fetal-neuron,+,41954
12-erythroid-progenitor-cell-rp-high,+,19104
13-monocyte,+,36809
14-b-cell-plasmocyte,+,19064
15-fetal-enterocyte,+,27514
16-hepatocyte-endodermal-cell,+,25595
17-fetal-fibroblast,+,34955
18-fibroblast,+,31554
19-fetal-mesenchymal-progenitor,+,32726
1-fetal-epithelial-progenitor,+,36917
20-endothelial-cell,+,35600
21-fetal-stromal-cell,+,40662
22-dendritic-cell,+,28940
23-cb-cd34p,+,28991
24-t-cell,+,31905
25-loop-of-henle,+,32258
26-erythroid-cell,+,17846
27-stromal-cell,+,30884
28-oligodendrocyte,+,47936
29-endothelial-cell,+,36107
2-macrophage,+,35798
30-at2-cell,+,41390
31-monocyte,+,27971
32-thyroid-follicular-cell,+,37485
33-smooth-muscle-cell,+,31505
34-fibroblast,+,28795
35-smooth-muscle-cell,+,38425
36-fibroblast,+,27250
37-b-cell,+,28077
38-epithelial-cell,+,24037
39-enterocyte,+,28624
3-b-cell-plasmocyte,+,17948
40-neutrophil-rps-high,+,27123
41-antigen-presenting-cell-rps-high,+,29863
42-smooth-muscle-cell,+,36252
43-fetal-chondrocyte,+,26941
44-pancreas-exocrine-cell,+,22116
45-macrophage,+,45829
46-neutrophil,+,30973
47-m2-macrophage,+,26165
48-neutrophil,+,35423
49-epithelial-cell,+,30904
4-fibroblast,+,46515
50-gastric-chief-cell,+,8393
51-macrophage,+,33423
52-proliferating-t-cell,+,26029
53-fetal-neuron,+,37243
54-goblet-cell,+,23475
55-fasciculata-cell,+,48978
56-intercalated-cell,+,31080
57-stratified-epithelial-cell,+,33311
58-stromal-cell,+,25304
59-epithelial-cell,+,31982
5-fasciculata-cell,+,22740
60-epithelial-cell-intermediated,+,24097
61-sinusoidal-endothelial-cell,+,38977
62-primordial-germ-cell,+,39339
63-fasciculata-cell,+,23403
64-fetal-skeletal-muscle-cell,+,48661
65-enterocyte-progenitor,+,33841
66-endothelial-cell-emt,+,43924
67-basal-cell,+,30073
68-astrocyte,+,51535
69-macrophage,+,43020
6-t-cell,+,22697
70-fibroblast,+,46024
71-fetal-acinar-cell,+,64318
72-stromal-cell,+,33681
73-basal-cell,+,28283
74-ventricle-cardiomyocyte,+,25453
75-erythroid-cell,+,27212
76-mesothelial-cell,+,53707
77-ureteric-bud-cell,+,45001
78-macrophage,+,31808
79-smooth-muscle-cell,+,34819
7-fetal-mesenchymal-progenitor,+,37663
80-enterocyte,+,35041
81-epithelial-cell,+,25032
82-stratified-epithelial-cell,+,32694
83-proximal-tubule-progenitor,+,57238
84-gastric-endocrine-cell,+,25690
85-erythroid-cell,+,23344
86-mast-cell,+,45461
87-hesc,+,36158
88-fetal-endocrine-cell,+,30922
89-neutrophil,+,25831
8-endothelial-cell-apc,+,36330
90-goblet-cell,+,35082
91-goblet-cell,+,29312
92-immature-sertoli-cell,+,48848
93-myeloid-cell,+,23013
94-dendritic-cell,+,32274
95-stromal-cell,+,24632
96-fetal-neuron,+,22713
97-intermediated-cell,+,16314
98-epithelial-cell,+,27183
99-chondrocyte,+,16890
9-enterocyte-progenitor,+,25583
100-b-cell,-,9621
101-kidney-intercalated-cell,-,10152
102-adrenal-gland-inflammatory-cell,-,10897
10-fetal-stromal-cell,-,32131
11-fetal-neuron,-,40576
12-erythroid-progenitor-cell-rp-high,-,18781
13-monocyte,-,35607
14-b-cell-plasmocyte,-,18136
15-fetal-enterocyte,-,26315
16-hepatocyte-endodermal-cell,-,24834
17-fetal-fibroblast,-,33782
18-fibroblast,-,29700
19-fetal-mesenchymal-progenitor,-,32019
1-fetal-epithelial-progenitor,-,35872
20-endothelial-cell,-,35049
21-fetal-stromal-cell,-,39476
22-dendritic-cell,-,27847
23-cb-cd34p,-,28249
24-t-cell,-,29898
25-loop-of-henle,-,30831
26-erythroid-cell,-,17124
27-stromal-cell,-,29578
28-oligodendrocyte,-,45619
29-endothelial-cell,-,33312
2-macrophage,-,33708
30-at2-cell,-,39381
31-monocyte,-,26348
32-thyroid-follicular-cell,-,34408
33-smooth-muscle-cell,-,28635
34-fibroblast,-,26413
35-smooth-muscle-cell,-,36568
36-fibroblast,-,26124
37-b-cell,-,26832
38-epithelial-cell,-,22460
39-enterocyte,-,26039
3-b-cell-plasmocyte,-,16732
40-neutrophil-rps-high,-,26932
41-antigen-presenting-cell-rps-high,-,28700
42-smooth-muscle-cell,-,34475
43-fetal-chondrocyte,-,27559
44-pancreas-exocrine-cell,-,20406
45-macrophage,-,42649
46-neutrophil,-,30831
47-m2-macrophage,-,24237
48-neutrophil,-,34724
49-epithelial-cell,-,29438
4-fibroblast,-,42594
50-gastric-chief-cell,-,7030
51-macrophage,-,31956
52-proliferating-t-cell,-,24688
53-fetal-neuron,-,36645
54-goblet-cell,-,21069
55-fasciculata-cell,-,48702
56-intercalated-cell,-,29548
57-stratified-epithelial-cell,-,30549
58-stromal-cell,-,23591
59-epithelial-cell,-,30119
5-fasciculata-cell,-,21604
60-epithelial-cell-intermediated,-,22968
61-sinusoidal-endothelial-cell,-,36545
62-primordial-germ-cell,-,37576
63-fasciculata-cell,-,22070
64-fetal-skeletal-muscle-cell,-,48793
65-enterocyte-progenitor,-,32272
66-endothelial-cell-emt,-,41461
67-basal-cell,-,27669
68-astrocyte,-,49677
69-macrophage,-,40397
6-t-cell,-,21683
70-fibroblast,-,43276
71-fetal-acinar-cell,-,61943
72-stromal-cell,-,32992
73-basal-cell,-,26868
74-ventricle-cardiomyocyte,-,25063
75-erythroid-cell,-,26461
76-mesothelial-cell,-,48371
77-ureteric-bud-cell,-,44002
78-macrophage,-,30704
79-smooth-muscle-cell,-,33394
7-fetal-mesenchymal-progenitor,-,35644
80-enterocyte,-,33154
81-epithelial-cell,-,23119
82-stratified-epithelial-cell,-,29989
83-proximal-tubule-progenitor,-,56154
84-gastric-endocrine-cell,-,24345
85-erythroid-cell,-,23156
86-mast-cell,-,42635
87-hesc,-,33610
88-fetal-endocrine-cell,-,29538
89-neutrophil,-,24695
8-endothelial-cell-apc,-,34811
90-goblet-cell,-,33450
91-goblet-cell,-,27438
92-immature-sertoli-cell,-,42767
93-myeloid-cell,-,21608
94-dendritic-cell,-,30157
95-stromal-cell,-,22655
96-fetal-neuron,-,21998
97-intermediated-cell,-,15437
98-epithelial-cell,-,25229
99-chondrocyte,-,15325
