celltype_id,strand,cts_total
72-stromal-cell,-,104146
73-basal-cell,-,42932
74-ventricle-cardiomyocyte,-,72916
75-erythroid-cell,-,47178
76-mesothelial-cell,-,42855
77-ureteric-bud-cell,-,39128
78-macrophage,-,50338
79-smooth-muscle-cell,-,56897
7-fetal-mesenchymal-progenitor,-,281783
80-enterocyte,-,104367
81-epithelial-cell,-,76410
82-stratified-epithelial-cell,-,54164
83-proximal-tubule-progenitor,-,50542
84-gastric-endocrine-cell,-,35753
85-erythroid-cell,-,42257
86-mast-cell,-,37737
87-hesc,-,55795
88-fetal-endocrine-cell,-,51287
89-neutrophil,-,41672
8-endothelial-cell-apc,-,184908
90-goblet-cell,-,79171
91-goblet-cell,-,23827
92-immature-sertoli-cell,-,84048
93-myeloid-cell,-,19540
94-dendritic-cell,-,26334
95-stromal-cell,-,19707
96-fetal-neuron,-,19614
97-intermediated-cell,-,13600
98-epithelial-cell,-,22593
99-chondrocyte,-,13868
9-enterocyte-progenitor,-,235137
