celltype_id,strand,cts_total
100-b-cell,+,9156
101-kidney-intercalated-cell,+,10180
102-adrenal-gland-inflammatory-cell,+,10090
10-fetal-stromal-cell,+,13752
11-fetal-neuron,+,17162
12-erythroid-progenitor-cell-rp-high,+,9397
13-monocyte,+,13534
14-b-cell-plasmocyte,+,8315
15-fetal-enterocyte,+,12923
16-hepatocyte-endodermal-cell,+,12270
17-fetal-fibroblast,+,15860
18-fibroblast,+,13875
19-fetal-mesenchymal-progenitor,+,14210
1-fetal-epithelial-progenitor,+,15524
20-endothelial-cell,+,15743
21-fetal-stromal-cell,+,15792
22-dendritic-cell,+,12227
23-cb-cd34p,+,11417
24-t-cell,+,12634
25-loop-of-henle,+,13264
26-erythroid-cell,+,8032
27-stromal-cell,+,14182
28-oligodendrocyte,+,18351
29-endothelial-cell,+,13750
2-macrophage,+,14885
30-at2-cell,+,15847
31-monocyte,+,11690
32-thyroid-follicular-cell,+,15434
33-smooth-muscle-cell,+,13804
34-fibroblast,+,12786
35-smooth-muscle-cell,+,15666
36-fibroblast,+,11578
37-b-cell,+,12136
38-epithelial-cell,+,10420
39-enterocyte,+,11836
3-b-cell-plasmocyte,+,7345
40-neutrophil-rps-high,+,10454
41-antigen-presenting-cell-rps-high,+,11665
42-smooth-muscle-cell,+,14611
43-fetal-chondrocyte,+,12226
44-pancreas-exocrine-cell,+,8588
45-macrophage,+,17987
46-neutrophil,+,12255
47-m2-macrophage,+,11822
48-neutrophil,+,14160
49-epithelial-cell,+,13348
4-fibroblast,+,17285
50-gastric-chief-cell,+,3438
51-macrophage,+,14458
52-proliferating-t-cell,+,12668
53-fetal-neuron,+,16519
54-goblet-cell,+,10304
55-fasciculata-cell,+,15282
56-intercalated-cell,+,13838
57-stratified-epithelial-cell,+,13413
58-stromal-cell,+,10641
59-epithelial-cell,+,12640
5-fasciculata-cell,+,10153
60-epithelial-cell-intermediated,+,11028
61-sinusoidal-endothelial-cell,+,16746
62-primordial-germ-cell,+,18071
63-fasciculata-cell,+,10448
64-fetal-skeletal-muscle-cell,+,14780
65-enterocyte-progenitor,+,10468
66-endothelial-cell-emt,+,17998
67-basal-cell,+,12746
68-astrocyte,+,17795
69-macrophage,+,17274
6-t-cell,+,10044
70-fibroblast,+,13541
71-fetal-acinar-cell,+,17828
72-stromal-cell,+,16504
73-basal-cell,+,12375
74-ventricle-cardiomyocyte,+,13140
75-erythroid-cell,+,12141
76-mesothelial-cell,+,16602
77-ureteric-bud-cell,+,14749
78-macrophage,+,16012
79-smooth-muscle-cell,+,16555
7-fetal-mesenchymal-progenitor,+,15447
80-enterocyte,+,14446
81-epithelial-cell,+,10750
82-stratified-epithelial-cell,+,16028
83-proximal-tubule-progenitor,+,19143
84-gastric-endocrine-cell,+,14583
85-erythroid-cell,+,12345
86-mast-cell,+,15121
87-hesc,+,14644
88-fetal-endocrine-cell,+,15997
89-neutrophil,+,14176
8-endothelial-cell-apc,+,15662
90-goblet-cell,+,13097
91-goblet-cell,+,15873
92-immature-sertoli-cell,+,21926
93-myeloid-cell,+,21184
94-dendritic-cell,+,17189
95-stromal-cell,+,21624
96-fetal-neuron,+,20946
97-intermediated-cell,+,15091
98-epithelial-cell,+,23636
99-chondrocyte,+,14741
9-enterocyte-progenitor,+,10854
100-b-cell,-,8960
101-kidney-intercalated-cell,-,9682
102-adrenal-gland-inflammatory-cell,-,9757
10-fetal-stromal-cell,-,13782
11-fetal-neuron,-,16739
12-erythroid-progenitor-cell-rp-high,-,9107
13-monocyte,-,13370
14-b-cell-plasmocyte,-,7958
15-fetal-enterocyte,-,12476
16-hepatocyte-endodermal-cell,-,11714
17-fetal-fibroblast,-,15265
18-fibroblast,-,13447
19-fetal-mesenchymal-progenitor,-,13955
1-fetal-epithelial-progenitor,-,14903
20-endothelial-cell,-,15524
21-fetal-stromal-cell,-,15369
22-dendritic-cell,-,11662
23-cb-cd34p,-,11205
24-t-cell,-,11965
25-loop-of-henle,-,12675
26-erythroid-cell,-,7712
27-stromal-cell,-,13936
28-oligodendrocyte,-,17955
29-endothelial-cell,-,13370
2-macrophage,-,14206
30-at2-cell,-,15665
31-monocyte,-,11154
32-thyroid-follicular-cell,-,14871
33-smooth-muscle-cell,-,13317
34-fibroblast,-,12148
35-smooth-muscle-cell,-,15071
36-fibroblast,-,11303
37-b-cell,-,11537
38-epithelial-cell,-,9927
39-enterocyte,-,10882
3-b-cell-plasmocyte,-,7070
40-neutrophil-rps-high,-,10364
41-antigen-presenting-cell-rps-high,-,11250
42-smooth-muscle-cell,-,13856
43-fetal-chondrocyte,-,12482
44-pancreas-exocrine-cell,-,8183
45-macrophage,-,17037
46-neutrophil,-,12117
47-m2-macrophage,-,11317
48-neutrophil,-,14113
49-epithelial-cell,-,13112
4-fibroblast,-,16461
50-gastric-chief-cell,-,2940
51-macrophage,-,14153
52-proliferating-t-cell,-,12243
53-fetal-neuron,-,16014
54-goblet-cell,-,9501
55-fasciculata-cell,-,14807
56-intercalated-cell,-,13341
57-stratified-epithelial-cell,-,12951
58-stromal-cell,-,10166
59-epithelial-cell,-,12173
5-fasciculata-cell,-,9674
