celltype_id,strand,cts_total
100-b-cell,+,5310
101-kidney-intercalated-cell,+,6133
102-adrenal-gland-inflammatory-cell,+,6233
10-fetal-stromal-cell,+,9793
11-fetal-neuron,+,11652
12-erythroid-progenitor-cell-rp-high,+,6826
13-monocyte,+,9328
14-b-cell-plasmocyte,+,5739
15-fetal-enterocyte,+,9236
16-hepatocyte-endodermal-cell,+,8824
17-fetal-fibroblast,+,10747
18-fibroblast,+,9993
19-fetal-mesenchymal-progenitor,+,10080
1-fetal-epithelial-progenitor,+,11111
20-endothelial-cell,+,11243
21-fetal-stromal-cell,+,10840
22-dendritic-cell,+,8570
23-cb-cd34p,+,8056
24-t-cell,+,8689
25-loop-of-henle,+,9379
26-erythroid-cell,+,5838
27-stromal-cell,+,9550
28-oligodendrocyte,+,12767
29-endothelial-cell,+,10160
2-macrophage,+,10690
30-at2-cell,+,11306
31-monocyte,+,8420
32-thyroid-follicular-cell,+,10875
33-smooth-muscle-cell,+,10330
34-fibroblast,+,8883
35-smooth-muscle-cell,+,10703
36-fibroblast,+,8026
37-b-cell,+,8357
38-epithelial-cell,+,7766
39-enterocyte,+,8257
3-b-cell-plasmocyte,+,4947
40-neutrophil-rps-high,+,7073
41-antigen-presenting-cell-rps-high,+,8013
42-smooth-muscle-cell,+,10424
43-fetal-chondrocyte,+,8223
44-pancreas-exocrine-cell,+,5947
45-macrophage,+,11916
46-neutrophil,+,8297
47-m2-macrophage,+,8682
48-neutrophil,+,9412
49-epithelial-cell,+,9625
4-fibroblast,+,12269
50-gastric-chief-cell,+,2144
51-macrophage,+,9385
52-proliferating-t-cell,+,8832
53-fetal-neuron,+,11833
54-goblet-cell,+,7422
55-fasciculata-cell,+,9755
56-intercalated-cell,+,9450
57-stratified-epithelial-cell,+,9689
58-stromal-cell,+,7665
59-epithelial-cell,+,9182
5-fasciculata-cell,+,7347
60-epithelial-cell-intermediated,+,7545
61-sinusoidal-endothelial-cell,+,11694
62-primordial-germ-cell,+,11264
63-fasciculata-cell,+,7558
64-fetal-skeletal-muscle-cell,+,9275
65-enterocyte-progenitor,+,7948
66-endothelial-cell-emt,+,12284
67-basal-cell,+,9566
68-astrocyte,+,12884
69-macrophage,+,10912
6-t-cell,+,7084
70-fibroblast,+,8343
71-fetal-acinar-cell,+,13728
72-stromal-cell,+,11392
73-basal-cell,+,8348
74-ventricle-cardiomyocyte,+,9018
75-erythroid-cell,+,8101
76-mesothelial-cell,+,10904
77-ureteric-bud-cell,+,11236
78-macrophage,+,9788
79-smooth-muscle-cell,+,10706
7-fetal-mesenchymal-progenitor,+,10849
80-enterocyte,+,9559
81-epithelial-cell,+,7187
82-stratified-epithelial-cell,+,10128
83-proximal-tubule-progenitor,+,14391
84-gastric-endocrine-cell,+,10398
