celltype_id,strand,cts_total
100-b-cell,+,12667
101-kidney-intercalated-cell,+,13302
102-adrenal-gland-inflammatory-cell,+,14794
10-fetal-stromal-cell,+,117309
11-fetal-neuron,+,235780
12-erythroid-progenitor-cell-rp-high,+,240209
13-monocyte,+,196180
14-b-cell-plasmocyte,+,185806
15-fetal-enterocyte,+,186690
16-hepatocyte-endodermal-cell,+,159476
17-fetal-fibroblast,+,172337
18-fibroblast,+,204387
19-fetal-mesenchymal-progenitor,+,165190
1-fetal-epithelial-progenitor,+,307401
20-endothelial-cell,+,207053
21-fetal-stromal-cell,+,256741
22-dendritic-cell,+,177381
23-cb-cd34p,+,182663
24-t-cell,+,193356
25-loop-of-henle,+,184057
26-erythroid-cell,+,143283
27-stromal-cell,+,128989
28-oligodendrocyte,+,323566
29-endothelial-cell,+,122390
2-macrophage,+,308913
30-at2-cell,+,214487
31-monocyte,+,148902
32-thyroid-follicular-cell,+,191400
33-smooth-muscle-cell,+,126199
34-fibroblast,+,149085
35-smooth-muscle-cell,+,137451
36-fibroblast,+,76979
37-b-cell,+,157249
38-epithelial-cell,+,86299
39-enterocyte,+,197500
3-b-cell-plasmocyte,+,204136
40-neutrophil-rps-high,+,99419
41-antigen-presenting-cell-rps-high,+,114207
42-smooth-muscle-cell,+,116412
43-fetal-chondrocyte,+,121111
44-pancreas-exocrine-cell,+,51497
45-macrophage,+,257511
46-neutrophil,+,128384
47-m2-macrophage,+,138176
48-neutrophil,+,110249
49-epithelial-cell,+,97299
4-fibroblast,+,168999
50-gastric-chief-cell,+,123215
51-macrophage,+,107569
52-proliferating-t-cell,+,87862
53-fetal-neuron,+,114507
54-goblet-cell,+,152731
55-fasciculata-cell,+,55939
56-intercalated-cell,+,122504
57-stratified-epithelial-cell,+,115069
58-stromal-cell,+,87946
59-epithelial-cell,+,155618
5-fasciculata-cell,+,133735
60-epithelial-cell-intermediated,+,96593
61-sinusoidal-endothelial-cell,+,77435
62-primordial-germ-cell,+,131964
63-fasciculata-cell,+,116088
64-fetal-skeletal-muscle-cell,+,54856
65-enterocyte-progenitor,+,38919
66-endothelial-cell-emt,+,141846
67-basal-cell,+,99299
68-astrocyte,+,119336
69-macrophage,+,93675
6-t-cell,+,273866
70-fibroblast,+,52417
71-fetal-acinar-cell,+,71923
72-stromal-cell,+,132813
73-basal-cell,+,59175
74-ventricle-cardiomyocyte,+,98313
75-erythroid-cell,+,60536
76-mesothelial-cell,+,61938
77-ureteric-bud-cell,+,51146
78-macrophage,+,67460
79-smooth-muscle-cell,+,75774
7-fetal-mesenchymal-progenitor,+,355735
80-enterocyte,+,133808
81-epithelial-cell,+,102599
82-stratified-epithelial-cell,+,75532
83-proximal-tubule-progenitor,+,64640
84-gastric-endocrine-cell,+,50673
85-erythroid-cell,+,52123
86-mast-cell,+,51649
87-hesc,+,75090
88-fetal-endocrine-cell,+,68766
89-neutrophil,+,55614
8-endothelial-cell-apc,+,241364
90-goblet-cell,+,100876
91-goblet-cell,+,33910
92-immature-sertoli-cell,+,115011
93-myeloid-cell,+,25863
94-dendritic-cell,+,37099
95-stromal-cell,+,28487
96-fetal-neuron,+,25932
97-intermediated-cell,+,18703
98-epithelial-cell,+,30333
99-chondrocyte,+,19124
9-enterocyte-progenitor,+,299077
100-b-cell,-,11135
101-kidney-intercalated-cell,-,11862
102-adrenal-gland-inflammatory-cell,-,12682
10-fetal-stromal-cell,-,120484
11-fetal-neuron,-,239390
12-erythroid-progenitor-cell-rp-high,-,239353
13-monocyte,-,193489
14-b-cell-plasmocyte,-,186554
15-fetal-enterocyte,-,186304
16-hepatocyte-endodermal-cell,-,159087
17-fetal-fibroblast,-,171042
18-fibroblast,-,197407
19-fetal-mesenchymal-progenitor,-,166163
1-fetal-epithelial-progenitor,-,308563
20-endothelial-cell,-,208014
21-fetal-stromal-cell,-,259007
22-dendritic-cell,-,175043
23-cb-cd34p,-,182677
24-t-cell,-,188487
25-loop-of-henle,-,179560
26-erythroid-cell,-,141828
27-stromal-cell,-,125638
28-oligodendrocyte,-,317439
29-endothelial-cell,-,116356
2-macrophage,-,300121
30-at2-cell,-,207282
31-monocyte,-,143435
32-thyroid-follicular-cell,-,184446
33-smooth-muscle-cell,-,116417
34-fibroblast,-,141115
35-smooth-muscle-cell,-,133959
36-fibroblast,-,74144
37-b-cell,-,154426
38-epithelial-cell,-,82954
39-enterocyte,-,189048
3-b-cell-plasmocyte,-,202092
40-neutrophil-rps-high,-,100555
41-antigen-presenting-cell-rps-high,-,112333
42-smooth-muscle-cell,-,111762
43-fetal-chondrocyte,-,126367
44-pancreas-exocrine-cell,-,48570
45-macrophage,-,248610
